comment   like                         nick     postTime reply  unlike                                user_url
        艹还不更新，都多久了，导演吃s啊，这么慢，好好的动漫都让更新毁了，天天知道出游戏版    NaN         王者归来1480927584266192          2天前   NaN     NaN  http://i.youku.com/i/UNDI1NzUwNjkyOA==
  支持国漫是对的， 但是 这个宝儿姐的配音是不是过分了 这么难听 四川话不像四川话 身垃圾玩意！   12.0                          土地廾  2018年01月19日   (1)    30.0  http://i.youku.com/i/UMTU2ODU5MDM0MA==
           我觉得四川话真是很有趣，不是笑话人家，我一个同事就是四川那边的特别幽默有意思    NaN                         敕勒川嗄          4天前   NaN     NaN  http://i.youku.com/i/UMjk5MDc3OTU3Ng==
       国漫有我大网络ip做后盾。。。国家扶持吧。。。网友支持吧。。。咱们也做文化出口。。。    9.0                      羊汤里的绿豆蝇  2018年01月24日   NaN     1.0  http://i.youku.com/i/UMTMxNTI4OTEyMA==
                            我就喜欢国漫，喜欢日漫的都去认日本人做爹吧   10.0                         隆v胡桃  2018年01月24日   (2)     4.0  http://i.youku.com/i/UNTAwNjgzMjIyNA==
                          动漫不错但仁者见仁智者见智 感觉方言版不适大众    2.0         优酷用户1470767832599840  2018年02月05日   NaN     5.0  http://i.youku.com/i/UMzg4ODMyNjk2OA==
看看网上评论感觉有多爱国一样，国漫能走出国们去赚外国人的钱吗？现在国漫都是抄袭日本制作的这么有骨气    NaN               腾讯用户7586112040  2018年02月11日   NaN    16.0  http://i.youku.com/i/UNDUxNDQ3ODcwOA==
支持！剧情画风配音都棒棒的！尤其喜欢王野的配音。每个人物的个性也鲜明。能够感觉到制作的用心！加油~    2.0                         大画画儿  2018年02月25日   NaN     1.0  http://i.youku.com/i/UMzk0NTQ3NDU0MA==
         现在的国漫真的是越来越不错了 就是配音还是有点呆呆的感觉 刻意的语言表达有点生硬    4.0              一觉睡到小时候58253039  2018年01月28日   NaN     2.0  http://i.youku.com/i/UMTM2MTg0ODkxNg==
                为什么一人之下会在日漫的选择里 去tm的优酷 这是中国人自己的动漫    4.0                     吴海丰91427  2018年02月10日   (2)     1.0  http://i.youku.com/i/UNTI4MzEwMTg0MA==
                      国漫 确实有进步 支持一下吧 有支持才有进步 不是吗？    6.0               优酷用户8940151910  2018年02月06日   NaN     NaN  http://i.youku.com/i/UNDU1NjU5OTU2OA==
          我是经过最动漫的安利来看的，但是第一季声音和口型都对不上是什么情况 让我怎么看    1.0                      刘海儿黑多阙阙  2018年02月24日   NaN     1.0  http://i.youku.com/i/UNDE2OTYyNTY5Ng==
         第二季 24集这两个星期怎么没更新了呢？公司倒闭了吗？ 谁能告诉一下我们这些粉丝    NaN                      杜四72952          2天前   NaN     NaN  http://i.youku.com/i/UNTU0NzU2MTY5Ng==
                          我觉得宝姐这个声音很好啊，音色好听，四川话得劲   19.0                       可我想吃布丁  2018年01月17日   NaN     2.0  http://i.youku.com/i/UNTQwNjA2OTQwNA==
                       好看好看，追了第一季又来第二季，期待第三季也马上开播    2.0                   猫猫81590113  2018年03月12日   NaN     NaN  http://i.youku.com/i/UMzM3MDQ2NzI3Ng==
                    好看是好看！就弱弱的问下这是中日合作的动漫还是纯国产动漫？    2.0               微信用户7635384808  2018年03月10日   (1)     NaN  http://i.youku.com/i/UNDQ4NTUzOTg4NA==
                   啊啊啊 对不起我来晚了 我现在才知道出第二季了 哎哟好激动啊   15.0            Autolycus62286095  2018年01月17日   (1)     NaN  http://i.youku.com/i/UMTY5Mzk2MTc5Ng==
               还是挺好看的，先看的漫画，但是还是看动漫更带劲儿些，希望快点更下一季   15.0                       忄谶花不语忄  2018年01月15日   NaN     3.0  http://i.youku.com/i/UNDg0NTgyOTMyNA==
                            虽然看过动漫，但是听了这十八式，还是笑喷了  243.0                    秋无痕198870  2018年01月13日   NaN    31.0  http://i.youku.com/i/UMzA0NzA1Njk2OA==
     国漫好水。一集时间那么短。总集数还这么少。20集的在日漫也就是10集。。。一集7-8分钟    NaN                         心中的穆          2周前   NaN     NaN  http://i.youku.com/i/UMTU4MDY4MDA4NA==
                      文化创新需要有促进发展的大环境，比如作为漫画迷的我们。    NaN                         小冰哎呀          2周前   NaN     NaN  http://i.youku.com/i/UMzYwODc2NDY0NA==
                          这不是，安图恩上那个喊，那些贵族老爷的那个吗？    2.0         微信用户1468972374149659  2018年01月26日   NaN     NaN  http://i.youku.com/i/UMzgxNTM3MDE4OA==
                          一人之下很好看，很有中国味道，思想价值观一样啊    2.0                gg18333151002  2018年02月22日   NaN     NaN  http://i.youku.com/i/UNDg3NTkxNzE2NA==
            国漫已经不错了，哈哈哈，不喷，就是不怎么喜欢中国的声优，可能听日系的听惯了    NaN               淘宝用户4723726641  2018年03月16日   NaN     1.0  http://i.youku.com/i/UNDc1NDc1MTEwOA==
                             画面质量高了不止一点啊，还是国人的有保障    9.0         腾讯用户1469029820907756  2018年01月17日   NaN     2.0  http://i.youku.com/i/UMzgxODAyOTk2MA==
       我努力的看，还是5分钟关了。从造型，到背景到其他，学小心学死日，就学成这样啊 改行吧    NaN         优酷用户1510114761977335  2018年03月12日   NaN     1.0  http://i.youku.com/i/UNTMxOTk1MzE4MA==
                          突击检查一下就没什么情况了错了进来听声音哑咯楼    2.0         优酷用户1468730674875695  2018年01月20日   NaN     2.0  http://i.youku.com/i/UMzgwNjc2NzI3Ng==
                          我没看错 吧，夏禾片尾在叫春，一天嗨爽了的表情    NaN                     优质视频酷感视觉  2018年02月27日   NaN     NaN  http://i.youku.com/i/UNDQ5OTM0Nzc4OA==
                 有人为的要出名，老是在说中国动漫怎样怎样，你也不想想你是什么东西    5.0         微信用户1473347992685215  2018年01月19日   NaN     1.0  http://i.youku.com/i/UMzk3NzcxNzY3Ng==
                         近几年国画有所进步不错，也让外国人知到中国也不差    NaN                        zwL玲珑  2018年02月18日   NaN     NaN  http://i.youku.com/i/UNDcxMzg3NjU2MA==
                     不好说和日本动漫确实有区别，还有国漫说地方方言真的没意思    NaN               腾讯用户7586112040  2018年02月11日   NaN     1.0  http://i.youku.com/i/UNDUxNDQ3ODcwOA==
            看第一部的时候由于配音感觉不太适应，再看第二部的时候突然发现方言很有味道。   17.0              支付宝用户8132995098  2018年01月16日   NaN     2.0  http://i.youku.com/i/UNDMxNzEyNjMxMg==
                           当然还有现在的画江湖系列 都很爱！ 依旧第二    3.0               淘宝用户8627183331  2018年01月28日   NaN     NaN  http://i.youku.com/i/UNDY5MjQzMjY2NA==
                        这部剧我追了好久了第二季出的好慢啊！等到头发都白了    3.0                     傻猪猪29635  2018年01月27日   (1)     NaN  http://i.youku.com/i/UNTM5NjE4MjA0MA==
                           这他妈就是国漫？都教的啥？观音坐莲？脏话连篇    2.0               微信用户9221395871  2018年01月18日   NaN    32.0  http://i.youku.com/i/UNDI1MDE4NjUwNA==
