content  playCount   name
                                     [偷笑][偷笑][偷笑]          0  一禅小和尚
                                     从抖音来的……好可爱……          0  一禅小和尚
                                  从抖音来的，觉得这些小段子很好          0  一禅小和尚
                                   很久不更新了，小编你是忘了吗          0  一禅小和尚
                            为什么看不了，没有整集的啊，你们从哪看的啊          0  一禅小和尚
                                  Kbszn?1aoi qAfJ          0  一禅小和尚
                                我有一禅 秀色可参 ，，，，，，，          0  一禅小和尚
                                       怎么不更新了。。。？          0  一禅小和尚
                         好短的一部动漫，挺有意思，挺有道理，小和尚挺可爱          0  一禅小和尚
                                                我          0  一禅小和尚
                                     快手来的，，，，，，，，          0  一禅小和尚
                                      还不更新，好期待再更新          0  一禅小和尚
                                      豆腐上有葱蒜，不对劲吧          0  一禅小和尚
                                     抖音来的哈哈哈哈哈好好好          0  一禅小和尚
                                       床前明月光地上鞋两双          0  一禅小和尚
                                      快手上的一禅来的举个爪          0  一禅小和尚
                                  哈哈，从抖音来的，有没有一样的          0  一禅小和尚
                                      你个瓜皮。 这么厉害啊          0  一禅小和尚
                                     肿么还没更新呐…？什么鬼          0  一禅小和尚
                                       人生哲理。。。。。。          0  一禅小和尚
                                       从内涵段子来的举个手          0  一禅小和尚
                                    和尚不是这样的。这是在。。          0  一禅小和尚
                                               扎心          0  一禅小和尚
                                       Lxy 我真的喜欢你          0  一禅小和尚
                                        加油吧 陌生人 。          0  一禅小和尚
                                      好可爱的小和尚！大喜！          0  一禅小和尚
                                      从抖音，快手，内涵来的          0  一禅小和尚
                                     从火山来的。。。。。。。          0  一禅小和尚
                                   好看极了，也搞笑极了，哈哈哈          0  一禅小和尚
                                   快手来的，你们呢，觉得好看呢          0  一禅小和尚
                              把这个动画看完了也许就知道什么叫爱了吧          0  一禅小和尚
                                      滴...滴滴 段友何在          0  一禅小和尚
                                         好喜欢这个小和尚          0  一禅小和尚
                                       超级可爱啊。。。。。          0  一禅小和尚
                                       快快更新吧，坐等更新          0  一禅小和尚
              我也是醉了一看79集还以为能看多久，你妈一分钟一集，我撒泡尿3集都完了          0  一禅小和尚
                                               好看          0  一禅小和尚
                                     抖音来的哈哈哈哈哈好好好          0  一禅小和尚
                                   这特么适合小孩看么？高级黑呀          0  一禅小和尚
                                    一分钟的片子，半分钟的广告          0  一禅小和尚
                                       天王盖地虎，段友何在          0  一禅小和尚
                                现实总给你巴掌，你也不能轻言放弃。          0  一禅小和尚
                                       不过是门前的一介阍者          0  一禅小和尚
               闲短的人你只是走马观花，理所当然觉得短，如果你仔细品味，就够悠长了。          0  一禅小和尚
                                        哲理决带着幽默风趣          0  一禅小和尚
老夫算了一卦，看你并非池中之物，将来必有所成，不如这样; 看右上角，那个十分霸气的大拇指，它...          0  一禅小和尚
                           那为什么彼此将就将就，就会觉得彼此合适了呢？          0  一禅小和尚
                                    祝你幸福，和她，emmmm          0  一禅小和尚
                               刚开始是看漫画很有爱现在拍动漫也很好          0  一禅小和尚
                          还是非常不错，有感悟，有启发。能渲染我们的心情          0  一禅小和尚
                                      这个背是不是。。。。。          0  一禅小和尚
                                      怎么还没更新啊 这么久          0  一禅小和尚
                                         l一，ll,ll          0  一禅小和尚
                            一分钟的动画片，你有一次刷新了我鄙视的记录          0  一禅小和尚
                                          挺好看的，不错          0  一禅小和尚
                                       这个师傅一定有故事啊          0  一禅小和尚
                                             抖音来得          0  一禅小和尚
                                      豆腐上有葱蒜，不对劲吧          0  一禅小和尚
                                       啦啦啦啦啦啦啦啦啦啦          0  一禅小和尚
                              好长呀 没心情看 除非上课无聊的时候看          0  一禅小和尚
                                               这和          0  一禅小和尚
                                       滴，滴滴，段友们护我          0  一禅小和尚
                                             用心体会          0  一禅小和尚
                                            一禅好可爱          0  一禅小和尚
                               一禅小和尚 第41集 和尚的开悟人生          0  一禅小和尚
                                    和尚不是这样的。这是在。。          0  一禅小和尚
                                       到底是成佛还是成魔呢          0  一禅小和尚
                                   hotlan hui lai          0  一禅小和尚
  山上有座庙，庙里住了一个老和尚还有一个小和尚，有一天老和尚给小和尚讲故事，山上有座庙，庙子……          0  一禅小和尚
                                          为什么不更新了          0  一禅小和尚
                                       我笑死我了呵呵哈哈哈          0  一禅小和尚
                                      人生没有如果，痛苦而已          0  一禅小和尚
                                          不疯魔，不成佛          0  一禅小和尚
                              怎么可以评论给视频加分，希望更多人看到          0  一禅小和尚
                                       XP的电脑背影？？？          0  一禅小和尚
                                     师傅太坏了，老让徒弟受伤          0  一禅小和尚
                                      怎么不更新了？等着看呢          0  一禅小和尚
                                        喜欢，这样的动画片          0  一禅小和尚
                                   为什么一集那么短 就是这样吗          0  一禅小和尚
                                       朋友就像是天上的星星          0  一禅小和尚
                                       弄成一部电影就就好了          0  一禅小和尚
                                       这种生活简单但是快乐          0  一禅小和尚
                                               可以          0  一禅小和尚
                                              NaN          0  一禅小和尚
                                   伤心悲月。。。。。。。。。。          0  一禅小和尚
                                               暖贴          0  一禅小和尚
                                               ……          0  一禅小和尚
                           师父对一禅也是真心疼爱着的 真暖心的动画片啊          0  一禅小和尚
                      卧槽，只有上签，哈哈哈可以可以[呲牙][呲牙][呲牙]          0  一禅小和尚
                                   牛逼哄哄他天天发发发反反复复          0  一禅小和尚
                                             好喜欢哇          0  一禅小和尚
                                      感悟知己不知，方为知！          0  一禅小和尚
                故事虽小，至理名言，人生苦短，总有离别，而别离则是为了再次的相遇。          0  一禅小和尚
                                    为什么不更新 可不可以更新          0  一禅小和尚
                                       哈哈哈哈哈哈笑死人了          0  一禅小和尚
                                              NaN          0  一禅小和尚
                                   现在的动画片都这么高级啦吗？          0  一禅小和尚
                                       做好事不能声张哈哈哈          0  一禅小和尚
                                           婚姻需要勇气          0  一禅小和尚
                             为什么只有79集，怎么看不了，谁能告诉我          0  一禅小和尚
                                     有谁和我一样的，抖音签到          0  一禅小和尚
                                                我          0  一禅小和尚
                                      很好看，可惜太短了点，          0  一禅小和尚
                              从抖音来的 感觉很好看 为啥评分这么低          0  一禅小和尚
                                               扎心          0  一禅小和尚
哈哈，你师傅我话都说不清楚，怎么去辩论啊[偷笑][偷笑][偷笑][偷笑][偷笑][偷笑][偷...          0  一禅小和尚
                                   胡同里吐司就是个好哥哥还是图          0  一禅小和尚
                                                对          0  一禅小和尚
                                       瞬间变为一禅的小粉丝          0  一禅小和尚
                                            小鸡炖蘑菇          0  一禅小和尚
                                            从快手来的          0  一禅小和尚
成长就是一场旅途，旅途中有逝去的人或物，既然已经不是我的了，干嘛还要去在意呢？拿得起放得下才...          0  一禅小和尚
                                      可以 哎 好看 我喜欢          0  一禅小和尚
                                   我允许你在我生命中任性一辈子          0  一禅小和尚
                                     山顶大寺那帮二愣子666          0  一禅小和尚
                                     怎么还没有更新？坐等更新          0  一禅小和尚
                                                z          0  一禅小和尚
                                        师傅我快坚持不住了          0  一禅小和尚
                                 为什么每次进来还是79，不更了吗          0  一禅小和尚
                                      有和我一样80后看的么          0  一禅小和尚
                                           咱也学习一下          0  一禅小和尚
                                               哈哈          0  一禅小和尚
                                               一禅          0  一禅小和尚
                        热评好少啊。全是人生大道理。挺好的动漫。幽默哈哈哈          0  一禅小和尚
                                哪有什么选择恐惧症，还不是因为穷。          0  一禅小和尚
                                              有点少          0  一禅小和尚
                                              哈哈哈          0  一禅小和尚
                                    哈哈太厉害了休息下旭哥许昌          0  一禅小和尚
                          太好看了，这也太那个。\n那个小和尚太可爱了。          0  一禅小和尚
                                               哈哈          0  一禅小和尚
                                          我发现了个漏洞          0  一禅小和尚
                          怪不得师傅老往河边跑，原来是未来普度众生啊。。          0  一禅小和尚
                                    一禅长大肯定不是个正经和尚          0  一禅小和尚
                                       就让老衲度了吧。……          0  一禅小和尚
                                       有意思。。。。。。。          0  一禅小和尚
                                             u89y          0  一禅小和尚
                                             tffg          0  一禅小和尚
                                              hao          0  一禅小和尚
                                              小火山          0  一禅小和尚
                                              NaN          0  一禅小和尚
                                    ...//........          0  一禅小和尚
                                    太短了，有点好笑，太可爱了          0  一禅小和尚
                                            太好看了！          0  一禅小和尚
                                 佛家就被你们这些垃圾制作玷污了！          0  一禅小和尚
                                            一禅小和尚          0  一禅小和尚
                                               哈哈          0  一禅小和尚
                                       我心情也不好....          0  一禅小和尚
                看到第七话笑了半天，特别是：师傅经常背女施主过河是普度众生，笑死了          0  一禅小和尚
                                     哈哈，萌萌哒的一婵！！！          0  一禅小和尚
                                     哈哈哈，暴露了真想，，，          0  一禅小和尚
                                      快手上的一禅来的举个爪          0  一禅小和尚
                                    小和尚好可爱呀有时候不懂事          0  一禅小和尚
                                      12233355744          0  一禅小和尚
                                     是不是每一集都是短时间的          0  一禅小和尚
                        不是算星期一星期三更新吗?我都等了俩个星期还是20          0  一禅小和尚
                                      好看，开悟者编剧。。。          0  一禅小和尚
                                   好看，就是太短，长一点就好了          0  一禅小和尚
                                    不错，总算看到好的动画片了          0  一禅小和尚
                                          不知道您的号。          0  一禅小和尚
                                  好喜欢一禅小和尚 好喜欢好喜欢          0  一禅小和尚
                                 和尚下象棋？ 象棋杀伐气这么重？          0  一禅小和尚
                                       可惜好短，看是好看。          0  一禅小和尚
                               怎么把截取的视频保存到本地 段友秒回          0  一禅小和尚
                                  这两个和尚整天聊和尚不该聊的事          0  一禅小和尚
                                  这么短1分多钟结束 剧情不够啊          0  一禅小和尚
                                      嘻嘻，有意思！[呲牙]          0  一禅小和尚
                                         75集被吃掉了？          0  一禅小和尚
                                       没有金刚钻别揽瓷器活          0  一禅小和尚
                                     贺岁档\n你的烦恼没有柔          0  一禅小和尚
                                       幸福，就是你在我身边          0  一禅小和尚
                                    有没有同感 每一集都有广告          0  一禅小和尚
                                       没什么大不了每天开心          0  一禅小和尚
                            老和尚挺时髦的啊，喷子，狗仔，键盘侠都知道          0  一禅小和尚
                     感觉是第二个大白[呲牙][呲牙][呲牙][呲牙][呲牙]          0  一禅小和尚
            一禅小和尚 第17集 一禅小和尚 外在条件并不是爱情的关键，最重要的是真心          0  一禅小和尚
                                    为何还不更新！！！！！！！          0  一禅小和尚
                               一禅小和尚 第52集 和尚的开悟人生          0  一禅小和尚
                                  llzalgema\n好久回来          0  一禅小和尚
                                    Hh\nY。FTC g c          0  一禅小和尚
                                     我就是那小和尚哈哈哈哈哈          0  一禅小和尚
                                              不错啊          0  一禅小和尚
                                               哈哈          0  一禅小和尚
                                              NaN          0  一禅小和尚
                                              还行吧          0  一禅小和尚
                                             哈哈哈哈          0  一禅小和尚
                                              哈哈哈          0  一禅小和尚
                                         有些还是很深奥的          0  一禅小和尚
                                              NaN          0  一禅小和尚
               别灰心，人生就是这样起起落落落落落落落落落落落落落落落落落落落落的。          0  一禅小和尚
                                       挺有哲理的，很好看！          0  一禅小和尚
                                  挺有哲理的，算是对人生的感悟了          0  一禅小和尚
                                      看不懂 我要好好悟悟了          0  一禅小和尚
                                      每一集都有广告！！！！          0  一禅小和尚
                                      每一集都在嘲讽当下社会          0  一禅小和尚
                                             傻子一个          0  一禅小和尚
                                     有意思，深奥呀。多看看。          0  一禅小和尚
                       放下屠刀立地成佛，一旦放下了屠刀你就等着被收拾吧……          0  一禅小和尚
                                       我咋那么喜欢这两和尚          0  一禅小和尚
                                     很有哲理的一部动画非常好          0  一禅小和尚
                                  我信佛。下辈子我是不是就是仙吗          0  一禅小和尚
                                       短小精悍，句句哲理。          0  一禅小和尚
                                          为什么就一分钟          0  一禅小和尚
                                       看完这个有点人生感悟          0  一禅小和尚
                                         小和尚妙语连珠啊          0  一禅小和尚
                                       很好的动漫，很有哲理          0  一禅小和尚
                                               很萌          0  一禅小和尚
                                              很好看          0  一禅小和尚
                                             目测会火          0  一禅小和尚
                                           打屁股了吗？          0  一禅小和尚
                                      66666666666          0  一禅小和尚
                                            好可怕\n          0  一禅小和尚
                                             [爱心]          0  一禅小和尚
                                             苦海无涯          0  一禅小和尚
                                   43616464334616          0  一禅小和尚
                                       我原本以为这个是电影          0  一禅小和尚
                                              NaN          0  一禅小和尚
