content  playCount  name
                   第一部真的好看，第二部画质看的不舒服，口型都对不上，看的别扭   34354764  万古仙穹
垃圾垃圾垃圾，改的都是什么鬼，你是不是嫉妒人家写得好就篡改人家的作品，说白了，不尊重原著你这...   34354764  万古仙穹
                                     不如第一季，有点故作姿态   34354764  万古仙穹
                   第一部真的好看，第二部画质看的不舒服，口型都对不上，看的别扭   34354764  万古仙穹
                                   垃圾！改了原著！改的面目全非   34354764  万古仙穹
                                     狗儿子，这偷桃子的狗儿子   34354764  万古仙穹
从这个什么紫薇星君出场  这人物设定得跟傻逼一样  忍了那么久  这一集真TMD忍不下去了 ...   34354764  万古仙穹
垃圾垃圾垃圾，改的都是什么鬼，你是不是嫉妒人家写得好就篡改人家的作品，说白了，不尊重原著你这...   34354764  万古仙穹
                                     不如第一季，有点故作姿态   34354764  万古仙穹
                                  好看好看好看好看好看有点短视频   34354764  万古仙穹
                应该没有人跟我一样.都28岁的老太太了，工作之余就看动画片[流汗]   34354764  万古仙穹
                                   垃圾！改了原著！改的面目全非   34354764  万古仙穹
                                     狗儿子，这偷桃子的狗儿子   34354764  万古仙穹
从这个什么紫薇星君出场  这人物设定得跟傻逼一样  忍了那么久  这一集真TMD忍不下去了 ...   34354764  万古仙穹
                          不知为何这么悲伤的场景我却控制不住自己想笑😂   34354764  万古仙穹
                                 谁能告诉我那段笛子吹的是那首歌？   34354764  万古仙穹
                                  好看好看好看好看好看有点短视频   34354764  万古仙穹
                应该没有人跟我一样.都28岁的老太太了，工作之余就看动画片[流汗]   34354764  万古仙穹
                          不知为何这么悲伤的场景我却控制不住自己想笑😂   34354764  万古仙穹
                                  我觉得改的很好，原著是什么鬼？   34354764  万古仙穹
                          动漫时动漫，小说是小说！两者只是名字一样而已！   34354764  万古仙穹
                                   跟小说有点出入，但是挺搞笑的   34354764  万古仙穹
                                 谁能告诉我那段笛子吹的是那首歌？   34354764  万古仙穹
                                  我觉得改的很好，原著是什么鬼？   34354764  万古仙穹
                          动漫时动漫，小说是小说！两者只是名字一样而已！   34354764  万古仙穹
                                     就问大家到不 倒 位👌   34354764  万古仙穹
寻人启事  林妙苗，女出生于：江西省上饶市，广丰县。 1997年11月28，于2018年4月...   34354764  万古仙穹
                                   跟小说有点出入，但是挺搞笑的   34354764  万古仙穹
                                         时间能长点就好了   34354764  万古仙穹
为什么对国产动漫的要求那么高？不是挺好的么？在进步啊！多给制作国漫的人一点宽容吧！我觉得特好...   34354764  万古仙穹
                                     就问大家到不 倒 位👌   34354764  万古仙穹
寻人启事  林妙苗，女出生于：江西省上饶市，广丰县。 1997年11月28，于2018年4月...   34354764  万古仙穹
                            神王：伏羲\n小柔：女娲\n觉得对的请举爪   34354764  万古仙穹
                                         时间能长点就好了   34354764  万古仙穹
为什么对国产动漫的要求那么高？不是挺好的么？在进步啊！多给制作国漫的人一点宽容吧！我觉得特好...   34354764  万古仙穹
                            神王：伏羲\n小柔：女娲\n觉得对的请举爪   34354764  万古仙穹
                    哈哈，居然有福州话！配音员还有福州人！就是发音不标准！哈哈   34354764  万古仙穹
                                       我快要被pop笑死了   34354764  万古仙穹
                 古海会不会有点垃圾，就知道叫都没见他打过[鄙视][鄙视][鄙视]   34354764  万古仙穹
                    哈哈，居然有福州话！配音员还有福州人！就是发音不标准！哈哈   34354764  万古仙穹
                                       我快要被pop笑死了   34354764  万古仙穹
