comment     like                                  nick     postTime  reply  unlike                                user_url
                 又要更新10年，赞是单数，我就追剧，赞是双数，我就弃剧，看各位了  14378.0                      Thedreamismyroad  2017年08月05日  (149)  2670.0  http://i.youku.com/i/UMTY1NjY0MjU4MA==
他爹我看了十几年，现在又出博人，估计也能看十几年。接近四十或超四十.......，我的童年有...  11258.0                        土豆用户_830788768  2017年04月05日  (496)   705.0  http://i.youku.com/i/UMzMyMzE1NTA3Mg==
                          鸣人要是死了我就不看火影了！同意的举手！！！！   3236.0                  微信用户1500948814396177  2017年08月18日   (64)   246.0  http://i.youku.com/i/UNDg0NDMyMzI2MA==
就这样吧，火影已完结，好心累，作为女生的我竟然跟着一群男生追一部剧追了6年！到此为止吧心好累...   3003.0                        腾讯用户8069687311  2017年07月16日  (108)   395.0  http://i.youku.com/i/UNDQ5MDc3ODMwMA==
         不知道为什么，自从我承认了鸣人后，我的心里就容不下鸣人的孩子了。😅😅😅😅   2101.0                                精神院的疯子  2017年08月19日   (37)   145.0  http://i.youku.com/i/UNDgxMTgyOTM4OA==
说实话，我最喜欢的还是鸣人。当我看到博人传时，心里十分不安。因为主角变成了博人，鸣人就成了可...   1054.0                                  雷神冷制  2017年07月28日   (13)    58.0  http://i.youku.com/i/UMzQwNzYxNzg4OA==
火影几时有，把酒问青天。不知优酷博人，何时能完结？我欲怀念鸣人，又恐悲伤流泪，忍者太感动。起...    482.0                        优酷用户7081828487  2017年04月14日   (12)    57.0  http://i.youku.com/i/UNDUzOTUyODI2MA==
火影（鸣人）之后不要再用火影的名字了，初中开始看到火影漫画，到现在十年了。从那个时候就一直看...    274.0                        手机用户_751566083  2017年08月11日   (10)    31.0  http://i.youku.com/i/UMzAwNjI2NDMzMg==
博人能力大筒木兄弟的查克拉（阿修罗转世的儿子，日向一族），祖传嘴遁，家传丸子，？右眼，必备仙...    149.0                        狗带了不如拉开乐堡啤酒就现在  2017年07月01日   (12)    28.0  http://i.youku.com/i/UMzAwMDkxNTM1Mg==
博人传没什么可以说的剧情，之前都是一些日常生活剧情，根本不能和火影忍者剧情相比，根本没有看火...    102.0                                  千雨薇毒  2017年08月13日    (7)    15.0  http://i.youku.com/i/UMzg5MjYzNDAxNg==
就这样吧，火影已完结，好心累，作为女生的我竟然跟着一群男生追一部剧追了6年！到此为止吧心好累...   3003.0                        腾讯用户8069687311  2017年07月16日  (108)   395.0  http://i.youku.com/i/UNDQ5MDc3ODMwMA==
他爹我看了十几年，现在又出博人，估计也能看十几年。接近四十或超四十.......，我的童年有...  11258.0                        土豆用户_830788768  2017年04月05日  (496)   705.0  http://i.youku.com/i/UMzMyMzE1NTA3Mg==
我家鸣人迷人的卡姿兰大眼睛变成了什么鬼样！！！这番的画风是朝着崩坏狂奔而去了吧！！！！！！！...      NaN                             Zoetyyyyy           昨天    NaN     NaN  http://i.youku.com/i/UMTYwMzUxODA0NA==
                 又要更新10年，赞是单数，我就追剧，赞是双数，我就弃剧，看各位了  14378.0                      Thedreamismyroad  2017年08月05日  (149)  2670.0  http://i.youku.com/i/UMTY1NjY0MjU4MA==
说实话，我最喜欢的还是鸣人。当我看到博人传时，心里十分不安。因为主角变成了博人，鸣人就成了可...   1054.0                                  雷神冷制  2017年07月28日   (13)    58.0  http://i.youku.com/i/UMzQwNzYxNzg4OA==
火影几时有，把酒问青天。不知优酷博人，何时能完结？我欲怀念鸣人，又恐悲伤流泪，忍者太感动。起...    482.0                        优酷用户7081828487  2017年04月14日   (12)    57.0  http://i.youku.com/i/UNDUzOTUyODI2MA==
火影（鸣人）之后不要再用火影的名字了，初中开始看到火影漫画，到现在十年了。从那个时候就一直看...    274.0                        手机用户_751566083  2017年08月11日   (10)    31.0  http://i.youku.com/i/UMzAwNjI2NDMzMg==
博人能力大筒木兄弟的查克拉（阿修罗转世的儿子，日向一族），祖传嘴遁，家传丸子，？右眼，必备仙...    149.0                        狗带了不如拉开乐堡啤酒就现在  2017年07月01日   (12)    28.0  http://i.youku.com/i/UMzAwMDkxNTM1Mg==
         不知道为什么，自从我承认了鸣人后，我的心里就容不下鸣人的孩子了。😅😅😅😅   2101.0                                精神院的疯子  2017年08月19日   (37)   145.0  http://i.youku.com/i/UNDgxMTgyOTM4OA==
博人传没什么可以说的剧情，之前都是一些日常生活剧情，根本不能和火影忍者剧情相比，根本没有看火...    102.0                                  千雨薇毒  2017年08月13日    (7)    15.0  http://i.youku.com/i/UMzg5MjYzNDAxNg==
不想看，首先：鸣人和博人明显是同一个声优； 鸣人会的博人竟然也会； 疾风传第一集叫漩涡鸣人，...     44.0                             carmen代购店  2017年07月04日    (8)    24.0  http://i.youku.com/i/UNDU4OTA3NDYwOA==
