content  playCount         name
                                博人传没有疾风传好看\n同意的点赞  548663663  博人传 火影忍者新时代
                                  第47集  拼手速截图哈哈哈哈  548663663  博人传 火影忍者新时代
                                       鸣人和他的爸爸像吗？  548663663  博人传 火影忍者新时代
                           这是要洗白蛇叔啊     巳月是第二个佐助啊  548663663  博人传 火影忍者新时代
                                     小时候的他，长大时候的他  548663663  博人传 火影忍者新时代
                                         没学过，这叫天赋  548663663  博人传 火影忍者新时代
                                          喜欢他们的点赞  548663663  博人传 火影忍者新时代
                                没有龙珠好看\n\n和我一样的点赞  548663663  博人传 火影忍者新时代
                                    还记得他吗？想念他的点赞。  548663663  博人传 火影忍者新时代
                                     觉得鸣人妹妹可爱的点赞！  548663663  博人传 火影忍者新时代
                                为什么不是国语的，[流泪][流泪]  548663663  博人传 火影忍者新时代
                              你们说说火影忍者好看吗？我觉得很好看。  548663663  博人传 火影忍者新时代
                                      说一句话证明你看过火影  548663663  博人传 火影忍者新时代
                                       我是火影迷，只画火影  548663663  博人传 火影忍者新时代
                                中忍考试篇了？会不会和电影差不多？  548663663  博人传 火影忍者新时代
                                   一步一步的走来，第七班的回忆  548663663  博人传 火影忍者新时代
                            博人完了是不是会出博人的孩子，这样无线下去  548663663  博人传 火影忍者新时代
                                    大家帮我看看我画的还好吧！  548663663  博人传 火影忍者新时代
火影里有个人，他光棍节出生，一辈子不顺，被自己亲手教的徒弟杀死，尸体沉入大海，差一点就能跟女...  548663663  博人传 火影忍者新时代
                          不是说只有50集吗？这个VIP51集是哪来的？  548663663  博人传 火影忍者新时代
                                   为毛我觉得火花比雏田好看……  548663663  博人传 火影忍者新时代
                            感觉这一部追到现在，完全不好看，都懒得看了  548663663  博人传 火影忍者新时代
                            博人传是博人传，火影可以不当，鸣人不能死。  548663663  博人传 火影忍者新时代
                  还有人记得他们吗\n有的请点赞\n谢谢\n我要的不多100个赞  548663663  博人传 火影忍者新时代
鸣人是比佐助强的，佐助的忍术很多也都是被鸣人克制的。\n1、写轮眼的幻术：幻术对于人柱力来说...  548663663  博人传 火影忍者新时代
                            我发现大蛇丸突然变得好帅啊(⊙o⊙)！！！  548663663  博人传 火影忍者新时代
觉得博人的第七班以后都长大了可能会很厉害一个会开白眼还有一个有写轮眼现在又有一个会有开仙人模...  548663663  博人传 火影忍者新时代
                                            火影迷点赞  548663663  博人传 火影忍者新时代
                                       博人这个是什么眼啊？  548663663  博人传 火影忍者新时代
                    博人是不是也喜欢班长，纷告白的时候博人脸怎么红了？[疑问]  548663663  博人传 火影忍者新时代
                     鸣人会被川木杀死了，\n博人为报仇杀川木，    点赞！  548663663  博人传 火影忍者新时代
结尾曲花鸟风月是指小樱佐助鸣人和雏田吧😄\n樱--花，鸟--千鸟--佐助，风--风属性查克...  548663663  博人传 火影忍者新时代
                           这是要洗白蛇叔啊     巳月是第二个佐助啊  548663663  博人传 火影忍者新时代
                              你们说说火影忍者好看吗？我觉得很好看。  548663663  博人传 火影忍者新时代
                                      说一句话证明你看过火影  548663663  博人传 火影忍者新时代
                                       我是火影迷，只画火影  548663663  博人传 火影忍者新时代
                                中忍考试篇了？会不会和电影差不多？  548663663  博人传 火影忍者新时代
                                        为他集1314个赞  548663663  博人传 火影忍者新时代
                                    能不能行了啊，一遍又一遍的  548663663  博人传 火影忍者新时代
                           看他第一眼以为是卡卡西孩子的请举手🙌点赞！  548663663  博人传 火影忍者新时代
                                               看图  548663663  博人传 火影忍者新时代
我并不觉得博人讨厌。鸣人属于是“龙傲天”，如果再把博人写成龙“龙傲天”绝对会疲劳。不如开场博...  548663663  博人传 火影忍者新时代
                          不是说只有50集吗？这个VIP51集是哪来的？  548663663  博人传 火影忍者新时代
                                   为毛我觉得火花比雏田好看……  548663663  博人传 火影忍者新时代
                            感觉这一部追到现在，完全不好看，都懒得看了  548663663  博人传 火影忍者新时代
                            博人传是博人传，火影可以不当，鸣人不能死。  548663663  博人传 火影忍者新时代
鸣人拥有多重影分身，螺旋手里剑，螺旋多连丸，超大玉螺旋手里剑（等等）拥有六道仙人一半的力量，...  548663663  博人传 火影忍者新时代
                            螺旋丸不是第四代发明的吗！怎么成三代勒？！  548663663  博人传 火影忍者新时代
                                看了这么久终于看到大筒木一族的人了  548663663  博人传 火影忍者新时代
                                这 53 集 不是之前剧场版的么？  548663663  博人传 火影忍者新时代
                                      能让鸣人死了后复活吗？  548663663  博人传 火影忍者新时代
                                            火影迷点赞  548663663  博人传 火影忍者新时代
                                       博人这个是什么眼啊？  548663663  博人传 火影忍者新时代
博人在击败大筒木桃式后得到了净眼，又听到桃式说击败神的人不再是人了，所以我大胆设想一下:因为...  548663663  博人传 火影忍者新时代
身为火影的鸣人，还得佐助替他教儿子，要不是佐助，博人得恨他爸一辈子吧，从小没有父母，也不懂如...  548663663  博人传 火影忍者新时代
                                有谁和我一样看了52集后面的么……  548663663  博人传 火影忍者新时代
                    博人是不是也喜欢班长，纷告白的时候博人脸怎么红了？[疑问]  548663663  博人传 火影忍者新时代
                     鸣人会被川木杀死了，\n博人为报仇杀川木，    点赞！  548663663  博人传 火影忍者新时代
结尾曲花鸟风月是指小樱佐助鸣人和雏田吧😄\n樱--花，鸟--千鸟--佐助，风--风属性查克...  548663663  博人传 火影忍者新时代
                                        为他集1314个赞  548663663  博人传 火影忍者新时代
                                    能不能行了啊，一遍又一遍的  548663663  博人传 火影忍者新时代
                           看他第一眼以为是卡卡西孩子的请举手🙌点赞！  548663663  博人传 火影忍者新时代
                                               看图  548663663  博人传 火影忍者新时代
我并不觉得博人讨厌。鸣人属于是“龙傲天”，如果再把博人写成龙“龙傲天”绝对会疲劳。不如开场博...  548663663  博人传 火影忍者新时代
鸣人拥有多重影分身，螺旋手里剑，螺旋多连丸，超大玉螺旋手里剑（等等）拥有六道仙人一半的力量，...  548663663  博人传 火影忍者新时代
                                              NaN  548663663  博人传 火影忍者新时代
都别吵 谁还记得他们，那个曾经能改变世界的几个人 ！   担如果我们改一下 如果他们赢了，那...  548663663  博人传 火影忍者新时代
                                岸本啊！快点管管吧！看不下去了啊！  548663663  博人传 火影忍者新时代
                                你们还记得这画面的吗？记得请点个赞  548663663  博人传 火影忍者新时代
                                      转生眼真帅，赞同的顶上  548663663  博人传 火影忍者新时代
                            螺旋丸不是第四代发明的吗！怎么成三代勒？！  548663663  博人传 火影忍者新时代
                                看了这么久终于看到大筒木一族的人了  548663663  博人传 火影忍者新时代
                                这 53 集 不是之前剧场版的么？  548663663  博人传 火影忍者新时代
                                              NaN  548663663  博人传 火影忍者新时代
                                    跟我一样喜欢这家族的，顶上  548663663  博人传 火影忍者新时代
