comment    like                        nick     postTime  reply  unlike                                user_url
           渐渐的，看《柯南》不仅仅为了看推理，更关心注重以新兰为主等的爱情。=￣ω￣=  2825.0                          畅筠  2015年07月07日  (126)   176.0  http://i.youku.com/i/UMTYzMzEzMDY0MA==
如果不是写新兰cp的话，为什么凡是和新一长得像的，都有青梅竹马。而且都喜欢对方。像平次，快斗...  1261.0                         毓敏阁  2016年05月04日   (39)   101.0  http://i.youku.com/i/UMTYxMTE1MDA5Mg==
                         这真是个奇迹，竟然能在这么大的海中把小兰给找到。   946.0                        青柠栀耳  2016年05月01日   (24)    51.0  http://i.youku.com/i/UMzEyMTY2OTg1Mg==
总是你军舰在吊，也难灭我国人爱国之心，纵然你如何强横，强行占我钓鱼岛，也难以抢占去我国民爱国...  1198.0                        地獄戁爵  2013年10月12日  (120)   493.0  http://i.youku.com/i/UMTMwNDU0ODkwNA==
恩恩//@小柒ぐ汐57969252:说喜欢柯哀党的 请好好想想 每次小哀跟小兰一起遇到危险 ...   563.0                蔷薇柠檬14829042  2015年07月15日   (39)    81.0  http://i.youku.com/i/UMTQ4NDAwMTIxMg==
                        柯南第一次说自己是一年级小学生，就因为差点没找到兰   410.0                         毓敏阁  2016年06月14日    (2)    42.0  http://i.youku.com/i/UMTYxMTE1MDA5Mg==
                   //@和你守望的流星雨:小兰，真心希望她能和新一在一起啊啊啊   290.0                         小金俠  2015年09月27日    (5)    39.0  http://i.youku.com/i/UMzE4NDk5MTU0MA==
柯南在剧场版中第四集中对小兰表白说：“喜欢你，比世界上任何一个人都要喜欢你！ 听着好感人，讨...   563.0               妮可妮可妮28017264  2016年02月20日   (62)   315.0  http://i.youku.com/i/UMzI1NTI0MDE5Ng==
我喜欢兰，也喜欢哀，哀党总说兰只会哭只会让新一救她，而哀就不会，但是你们想想，哀是知道新一的...   209.0           转身丶巴黎一场雨季65822374  2017年07月18日    (8)    16.0  http://i.youku.com/i/UMzA2MTg3MDU0OA==
                                    第一次看到柯南为小兰流泪耶   619.0                      小男人JAY  2016年03月25日   (37)    37.0  http://i.youku.com/i/UMzMyNDg2OTg4MA==
总是你军舰在吊，也难灭我国人爱国之心，纵然你如何强横，强行占我钓鱼岛，也难以抢占去我国民爱国...  1198.0                        地獄戁爵  2013年10月12日  (120)   493.0  http://i.youku.com/i/UMTMwNDU0ODkwNA==
