content  playCount name
                    唉，又不更新，也不提醒更新时间，天天让我们来点点击量！！！          0  地灵曲
                                      求推荐啊啊啊啊啊啊啊啊          0  地灵曲
                                       4月13日，还没更新          0  地灵曲
                                      这结局有点。。。。。。          0  地灵曲
                                     4.13。未更新。。。。          0  地灵曲
                                       什么玩意，男主太废了          0  地灵曲
                                     这动漫怎么感觉这么别扭啊          0  地灵曲
                                     4月12报道咋还不更新啊          0  地灵曲
                                     啥时候出第二季啊🌝🌝          0  地灵曲
    国漫做的越来越好了，不更新您也提醒一下我们观众啊！什么时候更新或者二季什么的发个提醒好不？          0  地灵曲
                                              不咋样          0  地灵曲
                                 男猪是什么东西 成事不足败事有余          0  地灵曲
                                       期待下一期是什么。。          0  地灵曲
                                   更新太慢了，是不是编不出来了          0  地灵曲
                       并且，这么长时间了也不出第二季，就没有诚心想做好动漫          0  地灵曲
主角男是真的丑啊，还望设计部门长点心，主角傻没关系，但是又傻又丑还有点没什么用就很难取悦大众...          0  地灵曲
                            这剧情，十八集了也没演出来个所以然，什么鬼          0  地灵曲
能复制出来的都是好手机 ┏━━┓┏━━┓┏━━┓ ┃┏━┛┃┏━┛┃┏━┛ ┃┗━┓┃┗━┓...          0  地灵曲
        不更新至少透露一下第二季的定档时间啊😭国漫里这种民国背景的盗墓主题真的很少见啊！          0  地灵曲
导演走了，走得很痛苦，火化的时候还诈了尸，一直喊着没有死，最后用铁链绑着烧完的。火很旺，烧得...          0  地灵曲
                                   2018年 4月12号无更新          0  地灵曲
                                      真吊人胃口。。。。。。          0  地灵曲
导演走了，走得很痛苦，火化的时候还诈了尸，一直喊着没有死，最后用铁链绑着烧完的。火很旺，烧得...          0  地灵曲
导演走了，走得很痛苦，火化的时候还诈了尸，一直喊着没有死，最后用铁链绑着烧完的。火很旺，烧得...          0  地灵曲
                               垃圾 猪脚就是一个只知道瞎BB的东西          0  地灵曲
                                   张天启一点毛用都没用 看着烦          0  地灵曲
                                       我舍不得看完 真好看          0  地灵曲
                                    画风很好，就是这剧情。。。          0  地灵曲
                      真尼玛坑，没头没尾，这是看过最气的国漫，还不如看喜羊羊          0  地灵曲
                                       第二季什么时候出!!          0  地灵曲
                                  这个少爷跟SB一样 熊孩子一个          0  地灵曲
                                    一个人在洞口守不害怕吗哦哦          0  地灵曲
                                               国漫          0  地灵曲
                                       女主是那个清什么瑶？          0  地灵曲
                                             一群水军          0  地灵曲
                                       卧槽，深渊柱！，，，          0  地灵曲
                                               好看          0  地灵曲
                        求想看带者直播系统的动画~就更棒了带着直播闯盗墓~          0  地灵曲
                                               太扯          0  地灵曲
                                        更新好慢还没第七集          0  地灵曲
                                         还不错，支持一下          0  地灵曲
                                 越来越讨厌那个死胖子了 废话真多          0  地灵曲
                               垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾          0  地灵曲
                                          男主废，女主丑          0  地灵曲
                                          很好看，很喜欢          0  地灵曲
                                    耗资数千万，就出来个这个？          0  地灵曲
                         3.53秒的时候，那妹子穿的好像我大浑天的校服！          0  地灵曲
                                        渣笔动漫什么毛意思          0  地灵曲
                                     停三周更新，是不是很搞笑          0  地灵曲
                                            B bb.          0  地灵曲
能复制出来的都是好手机 ┏━━┓┏━━┓┏━━┓ ┃┏━┛┃┏━┛┃┏━┛ ┃┗━┓┃┗━┓...          0  地灵曲
                                               好看          0  地灵曲
                                             好不好看          0  地灵曲
                                               好看          0  地灵曲
                                               第一          0  地灵曲
                                             ？？？？          0  地灵曲
                                         游戏CG即视感！          0  地灵曲
          男主被保护很好。。应该是个什么神秘后人。。。所以让他表现的像傻x。。大智若愚啊          0  地灵曲
                                           男主角像SB          0  地灵曲
                                       都是国漫的爱好者啊，          0  地灵曲
                                               好看          0  地灵曲
                                       看了真后悔，整个垃圾          0  地灵曲
                                        国漫其实也很不容易          0  地灵曲
                                          这人物我想吐槽          0  地灵曲
能复制出来的都是好手机 ┏━━┓┏━━┓┏━━┓ ┃┏━┛┃┏━┛┃┏━┛ ┃┗━┓┃┗━┓...          0  地灵曲
                                     看到评论我就放心看了。。          0  地灵曲
                             更新太慢了，等看下集的时候前面都忘记了。          0  地灵曲
