content  playCount      name
                                              好唯美          0  夏目友人帐第6季
                                    看11集为毛我看哭了啊……          0  夏目友人帐第6季
猫咪老师太可爱了 每集一个小故事，治愈人心，感人，像这样的好动漫现在是越来越少，宫崎骏的也挺...          0  夏目友人帐第6季
                                             很喜欢呐          0  夏目友人帐第6季
                           话说……猫咪老师到底是叫娘口三三还是斑啊……          0  夏目友人帐第6季
                                          这个影子好吓人          0  夏目友人帐第6季
                                我有个问题，猫咪老师到底是男是女。          0  夏目友人帐第6季
                               夏目贵志终于从心里感觉到自己有家人了          0  夏目友人帐第6季
                                     我也想用温柔对待这世界！          0  夏目友人帐第6季
                       啊啊啊啊啊！真的好想要一只和喵咪老师一样萌的猫啊！！          0  夏目友人帐第6季
                                      诶？夏目不是认识丙吗？          0  夏目友人帐第6季
                                           软绵绵，酱～          0  夏目友人帐第6季
真是的，什么嘛，从第一集开始看就看一集哭一集 [流泪][流泪]怎么这么好看，夏目的善良 总是...          0  夏目友人帐第6季
好喜欢塔子阿姨，有人这般关心夏目，我真的好开心，夏目这样的孩子，他温暖了全世界，更值得被全世界温暖          0  夏目友人帐第6季
                                          小狐狸萌到我了          0  夏目友人帐第6季
                                 感人，温暖，妖怪有时也比人善良吧          0  夏目友人帐第6季
                   因为被别人温柔的对待，所以自己也要变成一个温柔的人，对待别人          0  夏目友人帐第6季
夏目真的好温柔，真想世界上也有一个如夏目般的男孩，阳光温暖中略带点小忧郁，有种神秘的感觉。真...          0  夏目友人帐第6季
                           猫咪真的太可爱了，我也好想养一只一模一样的。          0  夏目友人帐第6季
                               每次有女的接触夏目，为什么会有点不爽          0  夏目友人帐第6季
                                    终于知道女主了，就是胖太。          0  夏目友人帐第6季
                          好喜欢猫咪老师哈哈哈\n可以很可爱也可以很帅~          0  夏目友人帐第6季
                                      很感人的，希望你平安！          0  夏目友人帐第6季
                                              喵咪酷          0  夏目友人帐第6季
                                        为什么这么好看的呐          0  夏目友人帐第6季
                           这样啊，真是太短暂了，所以我才不喜欢人类啊。          0  夏目友人帐第6季
                                           好萌啊 炸了          0  夏目友人帐第6季
                                         这一集好心疼夏目          0  夏目友人帐第6季
                                              NaN          0  夏目友人帐第6季
                                            。2017          0  夏目友人帐第6季
                                     好好看啊……………………          0  夏目友人帐第6季
                                  此生无悔入夏目，来世愿做帐中妖          0  夏目友人帐第6季
                         小玉小时候那么萌，长大怎么就残了😠😠😠😠          0  夏目友人帐第6季
                   就这么说吧，我觉得看的不是动画，感觉更像在看一个个精彩的故事          0  夏目友人帐第6季
                       2018.4.8 中午12：59看完夏目友人帐第一季          0  夏目友人帐第6季
                                       4--5 第二部开始          0  夏目友人帐第6季
                                        4-5 第一部看完          0  夏目友人帐第6季
                                 什么时候中国能有这样的片子，哎。          0  夏目友人帐第6季
                                     逼他mlgb。拉死拉滴。          0  夏目友人帐第6季
                             所有看夏目友人帐的人一定都有一颗温柔的心          0  夏目友人帐第6季
                                            看一集，哭          0  夏目友人帐第6季
                                     就我一个人喜欢塔子阿姨吗          0  夏目友人帐第6季
