content  playCount    name
                                              NaN          0  天谕 第1季
                                        这是太可怜了！😭          0  天谕 第1季
                    这画面和九州天空城游戏的画面太像了，我是不是看错了电视？！          0  天谕 第1季
                                      要不是有萝莉在。。。。          0  天谕 第1季
                                         骗我玩这个游戏。          0  天谕 第1季
                                     好自私的姐姐，唉，不看了          0  天谕 第1季
                               里面的人物感觉有点像镇魔曲的游戏人物          0  天谕 第1季
                   前期好像谁都不认识 现在都是师兄弟什么的 搞笑 还是我记错了          0  天谕 第1季
                                    潼溟真好看，特别是两个奶奶          0  天谕 第1季
                                     还可以，但没有枪神纪好看          0  天谕 第1季
                                   剧情很无趣，玄机越来越无聊了          0  天谕 第1季
                            剧情真尼玛烂！为一个人弃苍生，真尼玛好笑。          0  天谕 第1季
                       蜃魔。。。。。。。。。。。。。。。。。。。。。。奇葩          0  天谕 第1季
                                     那小女孩眼睛真TM的是大          0  天谕 第1季
现在的玄机越来越差了。20分钟的视频 前面广告加前期回顾 片头，好几分钟过去了 然后面又是1...          0  天谕 第1季
天谕制作组，你好！你们大概是玄机新进的分组新人员吧？我有个建议，如果你们只制作十三集就算了。...          0  天谕 第1季
     国漫在崛起加油吧天喻也是我们华夏动漫的一分子加油吧天喻也是一部成功之作望不要丢弃永远支持          0  天谕 第1季
                 男主角是谁啊？怎么看了怎么久都不知道，请知道的朋友们评论吧！谢谢          0  天谕 第1季
                                瞳光的姐姐死了。瞳光和什么魔分开了          0  天谕 第1季
                                          这刀子扎的位置          0  天谕 第1季
                                       哇，瞳溟胸好带劲😊          0  天谕 第1季
                                                哎          0  天谕 第1季
                         现在的动漫更新的漫剧情拖沓都不想看了都看不到结局          0  天谕 第1季
                                                废          0  天谕 第1季
                 虽然我是秦迷，但不代表这部天谕做的很好，真心恶心，狗血剧情，猪脚          0  天谕 第1季
                              我爸是李刚，我姐是祭祀，杀人怎么滴了?          0  天谕 第1季
                           垃圾。在也不看了！时间短就算了，剧情也太差了          0  天谕 第1季
                              一塌糊涂得剧情！把人物描述得毫无智商！          0  天谕 第1季
                                      瞳冥我老婆 你动她试试          0  天谕 第1季
一点都不好看啦，我现在明明说好看的，但是我现在有说过好看，因为他总出这个广告广告，不喜欢，现...          0  天谕 第1季
               这是我看过玄机最烂的的一部动画片，不想多说什么，烂得要死。。欢迎来喷          0  天谕 第1季
                      龙吃了几只羊，几只羊引发的血案？买不起羊吗？什么吊剧情          0  天谕 第1季
                        因为几只羊才出现的命案，还是千年命案，吓死我了🌚          0  天谕 第1季
                                       主角是谁到现在不知道          0  天谕 第1季
                            真尼玛狗血几只羊引发的血案，狗血得剧情垃圾          0  天谕 第1季
                                       看着还行就是有点垃圾          0  天谕 第1季
                               海螺声音好美，但是，剧情真失败，哼唧          0  天谕 第1季
                                      还有第二季啊啊啊啊啊啊          0  天谕 第1季
                               几只羊人起的血案啊！！！我服了！！！          0  天谕 第1季
                                        怎么看着像剑灵了呢          0  天谕 第1季
                                   破剧情。就为了几只羊。哦服你          0  天谕 第1季
                                卧槽，什么鬼的动漫，居然莫名的结局          0  天谕 第1季
                             几只羊引发的血案啊！！！真特么服了！！！          0  天谕 第1季
                                             垃圾动漫          0  天谕 第1季
                                      什么狗屁祭祀，死狗一只          0  天谕 第1季
为什么这些电视里面的村民都那么蠢，非要去和那么强大的魔兽作对，羊重要还是命重要，作死纯粹是作...          0  天谕 第1季
                       他么的从第一集看到现在，原来一切起因竟是几头羊 我服          0  天谕 第1季
                          现在的动漫都是图一个开心，都没有一点好玩儿的。          0  天谕 第1季
                                       寄刀片寄刀片寄刀片啊          0  天谕 第1季
