comment  like                        nick     postTime reply  unlike                                user_url
                       此时竟有如神助，一个踏步上前，只一招就砍下了尸魁的头   NaN                     阿九的欢乐时光  2017年06月27日   NaN     1.0  http://i.youku.com/i/UMTI4NTM5NjUyMA==
                      否则就功亏一篑玄力泄尽。于是，冥泉从此又被这部功法所累   1.0                        梦里喝风  2017年06月27日   NaN     1.0  http://i.youku.com/i/UMTI4NTM4NTUyNA==
                    冥泉的可怜之处便在于这座亲手建好的监牢困住的是她和他两个人   NaN                     抢我爱上自习灬  2017年06月27日   NaN     2.0  http://i.youku.com/i/UMTI4NDkyMDY5Mg==
                  联想到第一季里，冯夺差点陨灭风波庄之时，是及时出现的钟鸣救了他   NaN                        绝版天爱  2017年06月27日   NaN     1.0  http://i.youku.com/i/UMTI4NTAwNTY2NA==
                            说看在师兄的面上要和冷霜凝前仇旧恨一笔勾销   NaN                      我是青菜虫虫  2017年06月27日   NaN     1.0  http://i.youku.com/i/UMTI4NTMyNjIyOA==
                   所以，他才兴致冲冲拿着师尊刚修复的煞母剑跑去置冷霜凝于死地。   1.0                       绌铯的葬礼  2017年06月27日   NaN     1.0  http://i.youku.com/i/UMTI5MzEyMDY0MA==
                      后头，师兄临走前警告他不要打冷霜凝主意，冯夺却置若罔闻   1.0                     莎碧娜的生鱼片  2017年06月27日   NaN     NaN  http://i.youku.com/i/UNDExNTA5OTA2MA==
                           也就是说，冷霜凝在被魔道三奴用捆尸索困住之时   1.0                       醉灬红顏丶  2017年06月27日   NaN     NaN  http://i.youku.com/i/UMTIwNDQ2MDI3Mg==
                  这一幕经典场面发生在第一集当中。冷霜凝为给朱允炆开辟出一条生路   1.0                     独自上路看风景  2017年06月27日   NaN     NaN  http://i.youku.com/i/UMTI5MzEyMDgzMg==
                      国师玄懿为此和道衍展开生死之战，二人纷纷祭出法器相斗。   NaN                       辉仔爱雪儿  2017年06月27日   NaN     NaN  http://i.youku.com/i/UMTI4NDg1MjY3Ng==
                      后被魔道尸妖冥泉夺去。这本秘籍自身便存在着极大的缺陷。   NaN                        丫的爱情  2017年06月25日   NaN     NaN      http://i.youku.com/i/UNjI0NjI1MTQ4
                     冷霜凝生死之际他冷眼旁观，而师兄冯夺英雄救美正诉衷肠之时   NaN                        老弗十条  2017年06月25日   NaN     NaN  http://i.youku.com/i/UMTMwNzI3NTE3Mg==
              只是这秘密也像迎面而来的一个巴掌让冯夺措手不及之外，更是让他方寸大乱。   NaN                     都都都都都不行  2017年06月25日   NaN     NaN  http://i.youku.com/i/UMTIwNDgxOTk5Mg==
                         冯夺一脚踏上贼船，从此和冥泉就是一个绳上的蚂蚱了   NaN                        韶华秋歌  2017年06月25日   NaN     NaN  http://i.youku.com/i/UMTIwNDc0MTg1Ng==
        还顺带被强势告白了一番。这意味着朱允炆原先在第一季里折腾了老半天八字还没一撇的爱情   1.0                      赫伯特的面粉  2017年06月25日   NaN     NaN  http://i.youku.com/i/UNDExNTE4NTIwNA==
             对于冯夺来说，虽然难以置信加心乱如麻，可是如今之计也只能暂且听从冥泉所说   NaN                       悲伤的风隼  2017年06月25日   NaN     NaN  http://i.youku.com/i/UMTI5NTc5NjczMg==
                它本是玄门崆峒派秘籍，但因为其所讲为采补之术，和名门正派的道义不符   NaN                        夙沙问情  2017年06月25日   NaN     NaN  http://i.youku.com/i/UMTI4NTM4MzM3Mg==
              作为能通医道的医女她所做的这一切似乎都义不容辞，颇有医者父母心的仁慈。   NaN                        共工不怒  2017年06月25日   NaN     NaN  http://i.youku.com/i/UMTMyODk0ODkyNA==
                 百利无一害的东西世间少有，这姹女心经便是这么个损人不利己的东西。   NaN                       流浪鲁宾逊  2017年06月25日   NaN     NaN  http://i.youku.com/i/UMTI4NDkyODM1Ng==
         万念俱灰下还被逼着喝一堆苦到心底也治不好的药。惨吗?史上最惨的大男主毋庸置疑了。   NaN                      今夜有几共眠  2017年06月25日   NaN     NaN  http://i.youku.com/i/UMTIwNDQ5MjI2OA==
              就在朱允炆遭受折磨的时候，他的神仙妹妹冷霜凝正被魔道藏冥山钟鸣英雄救美   NaN       沃特的边沁1478229576610169  2017年06月25日   NaN     NaN  http://i.youku.com/i/UNDExNTQ2Mzk2NA==
                     结果一个不察，又遭小人暗算，再次落入贼网被关入山庄地牢。   NaN                      无敌人鱼达达  2017年06月25日   NaN     NaN  http://i.youku.com/i/UMTIwNDM0MDYwOA==
               物是人非，不过一夕之间。曾经一直依赖的国师转身便不再是昨日熟悉的面孔   NaN                       行色人生_  2017年06月25日   NaN     NaN      http://i.youku.com/i/UNjIzNjg5MTQ0
       城郊树林里，冥泉威胁冯夺势必要帮他夺得天阴谷秘籍，否则就不把《姹女心经》的下卷给他。   NaN                        小熠醒来  2017年06月25日   NaN     NaN      http://i.youku.com/i/UNjI3NTkwMjYw
                     功夫不负有心人，终于有一天，朱允炆不再随手挥开面前的药碗   NaN                     斯维夫特的射手  2017年06月25日   NaN     NaN  http://i.youku.com/i/UNDExNTI0MTM0MA==
                一直以为占有这词，必须有囚禁推倒之类吧。口鸟脑子里yy也能算占有？   1.0                      不会画画的猫  2017年06月24日   NaN     NaN      http://i.youku.com/i/UNjI1MzI4NTU2
         牡丹亭西厢记诗词读的还少，夸妹子都捉急。你看金龙鱼都用多少诗词成语了形容妹子了。   NaN                        极限亡灵  2017年06月24日   NaN     NaN      http://i.youku.com/i/UNjI0MDE3NDg0
               可能他要白忙一场，毕竟冥泉是千年老妖，万一他不遵守约定，感觉冯夺要跪   NaN                       宅女夏尛尛  2017年06月24日   NaN     NaN  http://i.youku.com/i/UMTI4NTM5MzI1Mg==
               口鸟守阵，然后鬼圣vs冥泉，阴姬浑水摸鱼抢了秘籍后遇到螳螂捕蝉的大寸   NaN                      挥着翅膀滴狼  2017年06月24日   NaN     NaN  http://i.youku.com/i/UMTI4NjUwMzA3Mg==
                         大寸也许抢到了秘籍然后被冥泉又玩了黄雀在后的游戏   NaN                       夜风中奔跑  2017年06月24日   NaN     NaN  http://i.youku.com/i/UMTIwNDQ0MDEyOA==
                          竹山派出生天恒真人给徒弟凌乙练剑为排行榜89位   NaN                       白白的战神  2017年06月24日   NaN     NaN  http://i.youku.com/i/UNDExNTA4NDU5Ng==
          其实就是钟鸣说了女主和鬼圣关系好之后 鬼圣不好意思的叹了口气 口鸟居然坏笑了、   NaN                      小禹的松花蛋  2017年06月24日   NaN     NaN  http://i.youku.com/i/UNDExNTE1OTA0NA==
            喜欢的就抱走吧 这集鬼圣颜值不错 偶尔近景会崩 和国师说话的时候又仙又好看   NaN                       恶魔爱漫步  2017年06月24日   NaN     NaN      http://i.youku.com/i/UNjI0MDIxMzQ4
             ，天一子土豪给凝霜是79位名剑。藏冥山虽然美人多但总感觉练器方面挺苦手。   NaN                      斯科特的书生  2017年06月24日   NaN     NaN  http://i.youku.com/i/UNDExNTA1MTI1Mg==
                       鬼圣师尊对口鸟好好~ 只是天生异象以及七星连珠是指?   NaN                        澳门小飞  2017年06月24日   NaN     NaN  http://i.youku.com/i/UMTMyMzQ5MzU0MA==
             口鸟就像个读男校的蠢孩子，整个学校就炼尸散人一个女教导主任，其他全公的。   NaN                     杰弗里的葛德文  2017年06月24日   NaN     NaN  http://i.youku.com/i/UNDExMzk2NjMzMg==
          鬼圣也是，害什么羞啊，都当着钟鸣和阴姬的面，说过他想念罗刹了大家都心照不宣了啊   NaN                     能撕的都是好丝  2017年06月24日   NaN     NaN  http://i.youku.com/i/UMTMyODk1ODAzMg==
