comment    like                          nick     postTime  reply  unlike                                user_url
                   2017年2月9日（正月十三）起，每周四准时更新~敬请期待！   904.0                         少年锦衣卫          频道主  (187)   210.0  http://i.youku.com/i/UMzkxMDg4MzgyNA==
看了很多国产动漫，都一个短概括。百度一下说做起来难度比较高，都是边做边播，一周一集的而且容错...   324.0            踮起腳尖就更靠近陽光97774240  2017年10月05日   (28)    62.0  http://i.youku.com/i/UMzM0NzI1MzA0OA==
画风和剧情还是挺给力的，只是人物服装有很大的问题，飞鱼服、绣春刀是锦衣卫标配，但是这番里面自...   185.0            KingArthur59771947  2017年09月29日   (20)    41.0  http://i.youku.com/i/UMTY5NzkwODA5Mg==
                             看到进度条我就哭了，国产剧是在比谁更短吗   767.0               优酷手机用户_4wgc6bc1  2016年12月29日   (24)    78.0  http://i.youku.com/i/UMzIxMjk0NjUxMg==
有些人我也真是搞不懂，你不喜欢看就别看了呗，还看这不是找虐呢吗，再说中国现在的动漫技术还没达...    73.0                    水晶78598595  2017年04月20日    (4)     7.0  http://i.youku.com/i/UMjg3ODg5OTgyMA==
     看到进度条我看着空中的天空然后点燃一根烟，随后长长地吐了一口烟圈，竖起中指叹道：Faku    87.0                          梧桐雪娇  2017年03月16日   (10)    22.0  http://i.youku.com/i/UMzQzOTQzMDYwNA==
老夫看你骨骼惊奇，必有一番大的成就，这样，你点我头像右上角有个大拇指，它是暗的，你把它点亮，...    50.0                  Xi8097210477  2017年03月01日    (2)    18.0  http://i.youku.com/i/UNDIwMDIyMDg1Ng==
       英俊潇洒的段云小哥哥担起了本剧的CP重任，官配九公主和另类萌的花常道，你支持哪一个？    31.0                         深蓝实况台  2017年09月29日    NaN     7.0  http://i.youku.com/i/UMTI5ODQ1MDI2NA==
现在的动画越来越逼真了，和真人一样的，堪比大片啊，色彩绚丽，神态丰富，细节处理的比真人还好，...    27.0           梦雪儿1480001138711870  2017年06月06日    (2)     4.0  http://i.youku.com/i/UNDIyNzEyMDEzMg==
                   2017年2月9日（正月十三）起，每周四准时更新~敬请期待！   904.0                         少年锦衣卫          频道主  (187)   210.0  http://i.youku.com/i/UMzkxMDg4MzgyNA==
看了很多国产动漫，都一个短概括。百度一下说做起来难度比较高，都是边做边播，一周一集的而且容错...   324.0            踮起腳尖就更靠近陽光97774240  2017年10月05日   (28)    62.0  http://i.youku.com/i/UMzM0NzI1MzA0OA==
画风和剧情还是挺给力的，只是人物服装有很大的问题，飞鱼服、绣春刀是锦衣卫标配，但是这番里面自...   185.0            KingArthur59771947  2017年09月29日   (20)    41.0  http://i.youku.com/i/UMTY5NzkwODA5Mg==
     看到进度条我看着空中的天空然后点燃一根烟，随后长长地吐了一口烟圈，竖起中指叹道：Faku    87.0                          梧桐雪娇  2017年03月16日   (10)    22.0  http://i.youku.com/i/UMzQzOTQzMDYwNA==
还是别播了，一个礼拜一集，一集就算了20分 有10分钟广告 玄机出的，出了多少片，估计又是一...    16.0                      老大坑不死you  2016年12月29日    (9)    20.0  http://i.youku.com/i/UMjU3MjkxNDA2MA==
有些人我也真是搞不懂，你不喜欢看就别看了呗，还看这不是找虐呢吗，再说中国现在的动漫技术还没达...    73.0                    水晶78598595  2017年04月20日    (4)     7.0  http://i.youku.com/i/UMjg3ODg5OTgyMA==
怎么又怀古？这锦衣卫我都可以在古装剧里看到怎么不出个现代版的“锦衣卫”。国漫还没有把中华传统...    11.0                          可颇孜豪  2017年01月14日    (5)    20.0  http://i.youku.com/i/UMzE0NDE3MTU0OA==
现在的视频越做越假，还是以前好。这种剧不想追了，时间段，剧情也就那样还天天在那装，没意思。从...    17.0          腾讯用户1503640762121142  2017年09月16日    (4)    17.0  http://i.youku.com/i/UNDkzNjg1MDAyMA==
看一集动画片容易吗，90秒广告不说，中间还得忍着恶心看baby那个平面模特，对，自始至终她就...    15.0                         紫罗兰暗夜  2017年10月31日    (2)     NaN  http://i.youku.com/i/UNTI5MjU1MDY2NA==
老夫看你骨骼惊奇，必有一番大的成就，这样，你点我头像右上角有个大拇指，它是暗的，你把它点亮，...    50.0                  Xi8097210477  2017年03月01日    (2)    18.0  http://i.youku.com/i/UNDIwMDIyMDg1Ng==
现在的动画越来越逼真了，和真人一样的，堪比大片啊，色彩绚丽，神态丰富，细节处理的比真人还好，...    27.0           梦雪儿1480001138711870  2017年06月06日    (2)     4.0  http://i.youku.com/i/UNDIyNzEyMDEzMg==
