content  playCount   name
                                         李元芳是只大老鼠          0  峡谷重案组
                                      幕后黑手是明世隐或嬴政          0  峡谷重案组
                                      鲁班七号的2技能和被动          0  峡谷重案组
                                     什么孙尚香，孙尚香早死了          0  峡谷重案组
                                               黄忠          0  峡谷重案组
                               可能是黄忠，因为黄忠大招和一技能不同          0  峡谷重案组
                             应该是鲁班，他先用2技能，在使用普攻连射          0  峡谷重案组
凶手是孙尚香，鲁班二技能有法术伤害，黄忠大招是在脚下造成爆炸，百里守约和马可波罗无法在地面上...          0  峡谷重案组
                                               刘备          0  峡谷重案组
                                    绝对不是大小姐因为他早死了          0  峡谷重案组
                                          黄中也可以埋雷          0  峡谷重案组
                                凶手是孙向香因为有他的二技能的痕迹          0  峡谷重案组
凶手是孙尚香，鲁班二技能有法术伤害，黄忠大招是在脚下造成爆炸，百里守约和马可波罗无法在地面上...          0  峡谷重案组
                                             是孙尚香          0  峡谷重案组
                                              孙尚香          0  峡谷重案组
孙尚香和鲁班嫌疑最大，但鲁班二技能附带已损生命值5%的法术伤害，所以凶手是孙尚香。被动普攻减...          0  峡谷重案组
孙尚香和鲁班嫌疑最大，但鲁班二技能附带已损生命值5%的法术伤害，所以凶手是孙尚香。被动普攻减...          0  峡谷重案组
                                          举报放不出来了          0  峡谷重案组
                                  迪仁杰和明世隐才是真爱呀。。。          0  峡谷重案组
                                              孙尚香          0  峡谷重案组
                                             是孙尚香          0  峡谷重案组
凶手是孙尚香，鲁班二技能有法术伤害，黄忠大招是在脚下造成爆炸，百里守约和马可波罗无法在地面上...          0  峡谷重案组
                                         李元芳是只大老鼠          0  峡谷重案组
                                      幕后黑手是明世隐或嬴政          0  峡谷重案组
                                      仔细看，小兵脸上有鞋印          0  峡谷重案组
                                           抓紧时间就去          0  峡谷重案组
                                             达摩 i          0  峡谷重案组
                                   都没看懂哎！😁😁😁😁          0  峡谷重案组
    大魔头就是明世隐。他甩的那个飞镖不就是明世隐的普通攻击的小刀吗？而且他的帽子很像他的皮肤。          0  峡谷重案组
                                            v哈哈哈哈          0  峡谷重案组
                                      男人和男人才是真爱呀！          0  峡谷重案组
                                                。          0  峡谷重案组
                              王者玩多了，连技能都背过丁。。。牛牛牛          0  峡谷重案组
                                       凶手是李白，梦琪不是          0  峡谷重案组
其实凶手真的可以有好多选项 就宫本被泉水秒那集都可以有好多种方法不止大乔一个 就看编剧最后怎...          0  峡谷重案组
                                               有病          0  峡谷重案组
                                           没想到是张飞          0  峡谷重案组
                            最后的凶手是庞统 庞统就是那个会放傀儡的人          0  峡谷重案组
                                           首先排除达摩          0  峡谷重案组
                                      为什么第五集好像看不了          0  峡谷重案组
                                             小兵好萌          0  峡谷重案组
                                             小兵好萌          0  峡谷重案组
                                       尊会掌握攻击的能有谁          0  峡谷重案组
                                              是达摩          0  峡谷重案组
                                      凶手是李反白。？，。？          0  峡谷重案组
                                               达摩          0  峡谷重案组
                                 好看😎😎😎😎😳😳😳          0  峡谷重案组
                              估计第二部就是从梦琪的梦境里出去就完了          0  峡谷重案组
                                      你妈个波rtdfgdg          0  峡谷重案组
                                     我搞工ffgdtfsfh          0  峡谷重案组
                                         兰陵王才是大魔王          0  峡谷重案组
                                         绝对是百里玄策。          0  峡谷重案组
                                             恶性弈星          0  峡谷重案组
                                               好看          0  峡谷重案组
                                   曹操有四技能？，，， ，，，          0  峡谷重案组
                                                好          0  峡谷重案组
                                               关羽          0  峡谷重案组
                                         胸肉是干将莫邪。          0  峡谷重案组
                                               啊。          0  峡谷重案组
                                     凶手我，每次狄仁杰都指我          0  峡谷重案组
                                           木兰好漂亮！          0  峡谷重案组
                                       答案是中国的钩子。。          0  峡谷重案组
第六级的凶手是老夫子\n老夫子先用三技能圣人之威造成物理伤害，再用二技能举一反三造成真实伤害...          0  峡谷重案组
                                      应该是阿柯它乜有二个刀          0  峡谷重案组
                                  梦琪果然被控制了\n那大红眼睛          0  峡谷重案组
                     既然幕后凶手可以操控这么多音雄，大家有没有想过凶手是玩家          0  峡谷重案组
                                     好看吗？你们这些人会吗？          0  峡谷重案组
                                               张飞          0  峡谷重案组
         李白不可能是大魔头，之前大魔头还威胁了李白。应该是明世隐。我觉得大魔头是个辅助。          0  峡谷重案组
                                        项羽大招是斩杀伤害          0  峡谷重案组
                        项羽，一技能无畏冲锋有击飞，而且有斩痕，项羽有刀啊          0  峡谷重案组
                                      方法八年级黄河鬼棺👻          0  峡谷重案组
                                  李白 你是不是要皮😲😲😲          0  峡谷重案组
                                              夏侯惇          0  峡谷重案组
        6\n6\n6\n66666666\n6 6 6 6\n6 6\n66666666          0  峡谷重案组
                                           说铠全是傻子          0  峡谷重案组
                                     我们都没有猜对凶手是张飞          0  峡谷重案组
                                           凶手是张飞？          0  峡谷重案组
                                       控制梦奇的是 明世隐          0  峡谷重案组
                                            应该是项羽          0  峡谷重案组
                               我猜是李白杀的，因为那时候就指着李白          0  峡谷重案组
                                      兰陵王啊各位。。。。。          0  峡谷重案组
                   关羽。能把曹操一刀劈死的只有关于，而且曹操死之前还受到控制。          0  峡谷重案组
                                              李白帅          0  峡谷重案组
                                              666          0  峡谷重案组
                                            是干将莫邪          0  峡谷重案组
                                      黄金季节看明白出现😊          0  峡谷重案组
                                           u妓女出来了          0  峡谷重案组
                                          刚回家换个😊          0  峡谷重案组
                                         大乔小姐姐好漂亮          0  峡谷重案组
最后肯定是明世隐，因为第一他是狄仁杰的宿敌，第二只有他的那款占星师才批的紫色斗篷，而且，他的...          0  峡谷重案组
                  你们在不在哪？？？😷😷😷😷😷😷😷😷😷😷😷          0  峡谷重案组
                       魔头是明世隐他创的晓天组织是暗中的和狄仁杰为敌对组织          0  峡谷重案组
其实啊，我觉得，打波兵线发育发育不是很正常的吗？还犯法！😂😂😂😂如果打波兵线犯法的话...          0  峡谷重案组
                                              去去去          0  峡谷重案组
                                           李白哥哥好帅          0  峡谷重案组
                                                肠          0  峡谷重案组
                                            国家国防军          0  峡谷重案组
                                  宫本。。。。。。。。。。。。。          0  峡谷重案组
        魔头八成是明世隐，明世隐皮肤带斗篷，又是魔种阵营和狄仁杰谁的还有长城守卫军是死对头          0  峡谷重案组
                                           大魔头是奕星          0  峡谷重案组
                                        大魔头不会是玄策吧          0  峡谷重案组
                                               好看          0  峡谷重案组
                                       李白是为了救韩跳跳吧          0  峡谷重案组
               哎......过几秒之后就复活了，自己问问不就行了吗，何必这么费劲?          0  峡谷重案组
                                   跟你们讲最后boss是明世隐          0  峡谷重案组
                                      我的梦奇，你怎么变坏了          0  峡谷重案组
                                   现在是吃鸡火，出什么王者荣耀          0  峡谷重案组
                                               好看          0  峡谷重案组
                                              夏侯惇          0  峡谷重案组
                                    咕咕咕忽悠姑姑姑父v回家3          0  峡谷重案组
                                               张良          0  峡谷重案组
                                       建筑都是物理伤害好吧          0  峡谷重案组
                                      杨二狗的战友是哪扎是吗          0  峡谷重案组
                          有可能是夏侯敦二技能进行爆炸大招可以拉动自己。          0  峡谷重案组
                             凶手是，太乙真人 1技能爆炸2技能拉人。          0  峡谷重案组
