comment   like                     nick     postTime reply  unlike                                user_url
                          看到这个标题我第一时间就想到了重庆的江小白酒。  357.0                    黑岩萌少女  2017年11月10日   (8)    19.0  http://i.youku.com/i/UMzM2MTYyMTY5Mg==
看到的几个很喜欢的小细节 1.出门上班时挂绳上的衣服 2.独自换水整理打扫办公室并去拿样刊与...  139.0               红烧-快带排骨去清蒸  2017年11月10日   (5)    17.0  http://i.youku.com/i/UMTg2NTcwODcwMA==
          所有的故事都该久别重逢。总有些事谁都预料不到。良心之作。一集太短了，看不饱❤️  112.0                  嗯嗯15718  2017年11月10日   (1)    11.0  http://i.youku.com/i/UNDk3NjY3MDkyNA==
阿!无巧不成书，所有的剧本都一样。如此套路的邂逅。不过话说，这画面感倒是挺真实的，大重庆，这...   50.0                    晚晴天的秋  2017年11月15日   (2)     8.0  http://i.youku.com/i/UNDU5MjkxNjMwMA==
   看了一集，确实不错，很细腻，细节很真实。没有敷衍，制作团队很用心，期待爆红，因为有这个实力！   37.0     微信用户1502000810793667  2017年11月10日   NaN     1.0  http://i.youku.com/i/UNDg3ODI5NTMyNA==
江小白酒，骗骗那些大学生还行。还有就是那些没喝过什么酒的人。完全就是酒精兑水。难喝死了。零售...  118.0               走在新时代的旧社会人  2017年11月10日  (25)    93.0  http://i.youku.com/i/UMjk0MTQwNzY1Mg==
江小白酒，骗骗那些大学生还行。还有就是那些没喝过什么酒的人。完全就是酒精兑水。难喝死了。零售...  118.0               走在新时代的旧社会人  2017年11月10日  (25)    93.0  http://i.youku.com/i/UMjk0MTQwNzY1Mg==
看到的几个很喜欢的小细节 1.出门上班时挂绳上的衣服 2.独自换水整理打扫办公室并去拿样刊与...  139.0               红烧-快带排骨去清蒸  2017年11月10日   (5)    17.0  http://i.youku.com/i/UMTg2NTcwODcwMA==
不知道为什么看到这部动漫，最近看的那部日漫你的名字下意识的映入脑海，或许是同样有着打动心灵的元素吧   19.0                   爆炸吧地球君  2017年11月12日   (7)     5.0  http://i.youku.com/i/UNDg1NDYxMjcyOA==
我今年七十二岁 我喜欢的食物是死老鼠 我喜欢喝的是江小白 我会飞 我不会哭 这几件事中只有一...   15.0               李洪绸工作室的大迷弟  2017年11月11日   (6)    14.0  http://i.youku.com/i/UNTI3MTQ2MzEwNA==
