comment    like                                  nick     postTime reply  unlike                                user_url
             轰和绿谷决战的时候都感觉喘不上气来 但最后绿谷输了总感觉有些失落和不甘心    12.0                  腾讯用户1503477359430530  2017年08月23日   NaN     4.0  http://i.youku.com/i/UNDkzMDc5Njk5Mg==
                 更爱欧鲁麦特的点个赞，特喜欢欧鲁麦特，白胡子这类的高大伟岸的人物    15.0                                   荒小魔  2017年03月31日   NaN     1.0  http://i.youku.com/i/UMTU2NDg1MTU2MA==
             刚看男主以为他会觉醒牛逼下，结果最后也是渣，遇问题就会流泪然后说该怎么办     4.0                          张张欧巴31255048  2017年04月06日   (5)    37.0  http://i.youku.com/i/UMzIzMTE4NDQwMA==
              一拳超人就一季吧感觉，最后都把宇宙最强的打败了，还有什么剧情。。。。。     5.0                                 去喜欢别人  2017年03月26日   (4)     7.0  http://i.youku.com/i/UNDM1Mzc4NjM4NA==
                  我只想说很深刻，和热血，随便问一句，第三季什么时候出来等不急了     5.0                        土豆用户_456524040  2017年10月01日   (2)     NaN  http://i.youku.com/i/UMTgyNjA5NjE2MA==
拍拍拍。结果天天热额为全球书法家，kkmmkoo我完完全全批评我 没你就不会iphbhygu...     3.0                  优酷用户1499608742865570  2017年09月25日   NaN     2.0  http://i.youku.com/i/UNDc5NDE4OTIyOA==
            请大家自觉成立喷子死吗协会，喜不喜欢随你，乱喷的话就是你祖宗十八代的问题了     8.0                                 霸王b别急  2017年09月24日   NaN     2.0  http://i.youku.com/i/UMTY0ODY4NTY5Mg==
     有没有觉得最后绿谷出久最后那句“冲向更遥远的彼方，Plus Ultra!"说得很有气势？     4.0                              zidekuls  2017年03月27日   NaN     1.0  http://i.youku.com/i/UMzYyMDg5NTk4OA==
         一下午刚补完第一季，现在开始补第二季，希望弹幕不要像第一季一样有那么多一拳脑残粉     9.0                  优酷用户1471973937868763  2017年08月01日   (1)     2.0  http://i.youku.com/i/UMzkzMTU2ODcwMA==
                        然而这番的人设是有点低龄向了，如果人设在好点就好了     3.0               yunos用户1508906312277219  2017年12月11日   NaN     2.0  http://i.youku.com/i/UNTI4MjM2NzI0NA==
我想告诉你们，其实第二季是跟第一季连在一起的。可是不知道为什么就分开了，可能是制片人香你们肯...     6.0                        腾讯用户5309896524  2017年07月18日   (1)     1.0  http://i.youku.com/i/UNDY0NDIzNzYwOA==
不不不，制作组只是透露了动漫已经开工制作而没说什么时候开播。//@●°只是个豆包:第二季今年...     3.0                                  雅会是v  2017年03月26日   (2)     NaN  http://i.youku.com/i/UMTU0NTkyNjk2OA==
           人们需要热血漫就像世界需要英雄一样 在这个废萌当道的 龙傲天横行的年代更需要     6.0                                    蛋樣  2017年03月28日   (1)     1.0  http://i.youku.com/i/UMTQzODAyNDEyNA==
          寂寞你愿意一下一下呀1他推我remix1五1门子THX中二阿鲁1退役我和DSL     1.0                       支付宝用户7819160835  2017年08月07日   NaN     1.0  http://i.youku.com/i/UNDcwNTI4MDUwMA==
                         看了这片 表示我是绿蛙 党了 有没有党员阿 亲们    16.0                            _365771948  2017年07月15日   NaN     2.0  http://i.youku.com/i/UMTQ2MzA4Nzc5Mg==
                 一拳吹死全加 ，什么都刷一拳一拳的，烦不烦啊，你们光头野爹烂屁股    18.0                        土豆用户_761326192  2017年06月03日   (1)    13.0  http://i.youku.com/i/UMzA0NTMwNDc2OA==
就像现在社会，要么做个安静的普通人，要么做个聒噪的普通人，但你永远都只是一个普通人。是普通人...    14.0                             IMCHUNHUI  2017年05月29日   NaN     1.0  http://i.youku.com/i/UMTgwNDExNjM2MA==
                有啥好失望的，看看回顾你也能燃起来，说无聊的大概还不够爱小英雄吧。     4.0                                  圆了个汐  2017年03月26日   NaN     NaN  http://i.youku.com/i/UNDA4ODc5NDIxMg==
                          这部动画，主角是不是永远不会杀死反派？圣母婊？    17.0                        土豆用户_428514658  2017年07月12日   (2)    27.0  http://i.youku.com/i/UMTcxNDA1ODYzMg==
     ？？？？？？13.5就是前情回顾啊而且人家是0.5又没有占集数不懂这些人在这bb啥水集数     8.0                        腾讯用户4866424740  2017年08月16日   NaN     1.0  http://i.youku.com/i/UNDc0NDU2MDkwOA==
              这可能是继海贼火影之后我认为会火的动漫！很热血！！希望动漫能做得长久。     8.0                               愛的每一次微笑  2017年04月01日   NaN     NaN      http://i.youku.com/i/UMjg3MDI3MzA0
                         看过前13集且不需要回顾的可以直接跳到下期预告了     2.0                                1357qt  2017年03月26日   NaN     NaN      http://i.youku.com/i/UNTc2MDYxMjI4
                      第二季要播了放个总集篇预热下……我还又回去看了遍12集     2.0                            水澜33844933  2017年03月26日   NaN     NaN  http://i.youku.com/i/UMzA3ODcyMjc4NA==
   怎么说也要出个总集篇 让没看过第一季就看第二季的人知道前面讲了什么啊 觉得出个总集篇挺好的。     2.0                        土豆用户_478395061  2017年03月26日   NaN     1.0  http://i.youku.com/i/UMTkxMzU4MDI0NA==
           男主什么时候能强大起了欧尔麦特在一点点的衰弱什么时候能成为欧尔麦特那样的英雄     NaN                        微信用户5881413962  2017年10月02日   NaN     NaN  http://i.youku.com/i/UNDQ5NzI0NTczNg==
                             我比较喜欢银色长发类的主角（我不是吐槽）    11.0                        腾讯用户7924893050  2017年06月27日   (5)     8.0  http://i.youku.com/i/UNDM0MzU3OTExMg==
                  优酷你就庆幸你买了小天使吧，要不然我都不会点开，日夜等正片回归     1.0                             大爱Seagull  2018年02月19日   NaN     NaN  http://i.youku.com/i/UMzEzNzA3MDc2MA==
                         本来就不是一个世界观。为什么某些人非要到扯到一起     NaN                              助人为乐de贝蒂           前天   NaN     NaN  http://i.youku.com/i/UNTQyNjc1NjkyOA==
哎哟，写出第二季喽，也塞好棒棒的啦嗯，我不知道为什么，你干嘛要出去接你还不赶紧多，动画第二季...     1.0                           game_6cbxql  2017年03月27日   NaN     4.0  http://i.youku.com/i/UMjk2Nzc2MjYyOA==
                          下周就是第二季正式的第一集了，所以用总集篇预热     1.0                           4AngelPluse  2017年03月25日   NaN     NaN      http://i.youku.com/i/UMTkzMzUxNTE2
一拳内涵深意？能不吹了吗？呵呵！一拳粉ky爆炸，不看滚//@我不是你-3F4CD:这个还是适...    11.0                        优酷用户4662090206  2017年05月20日   NaN     4.0  http://i.youku.com/i/UNDU1OTU4MzU0NA==
                 你们是不是傻，这本来就是四月新番，现在做个先导总集篇不是很正常？     3.0                                  雅会是v  2017年03月26日   NaN     NaN  http://i.youku.com/i/UMTU0NTkyNjk2OA==
                        你们在这部作品中最喜欢哪个英雄?我喜欢相泽消太老师    10.0                  腾讯用户1462595444573761  2017年06月11日   (2)     NaN  http://i.youku.com/i/UMzYyOTIwMzMyMA==
    连会员都不舍得买的人，你认为放广告给他们，他们会买吗？应该买会员赠广告才对，你说呢，优酷桑    19.0                                   祝戚O  2017年08月31日   NaN     2.0  http://i.youku.com/i/UNDc0MjcxMTA4NA==
                  看个动漫哪来的那么多事，有那时间说闲话的都不去去医院治治脑子！     1.0                        微信用户9212366609  2017年10月03日   NaN     1.0  http://i.youku.com/i/UNDY3Mjc2MTQ0MA==
