comment   like                          nick     postTime reply  unlike                                user_url
应该是看拳皇剧情是多少人多年以来的情怀。总感觉哪里不对，也许是因为人物模型太差尤其是男角色。...  274.0               优酷手机用户_CWlSnRHC  2017年09月16日  (42)    56.0  http://i.youku.com/i/UMzQxNTYxNDY2OA==
期待了很久的动画，终于做出来了，希望能坚持下去，我可是铁杆KOF迷，漫画从前传开始看，然后是...  132.0                          追风GY  2017年09月28日   (8)    23.0  http://i.youku.com/i/UMTY5Njk2MzM4OA==
                      草雉家的母亲感觉比卢卡尔还强，收拾草稚柴舟都不要十秒。  101.0                         喵星星爸爸  2017年09月15日   (4)    14.0      http://i.youku.com/i/UMjgxMjA5NzY=
买个版权，再请原著过来做动画指导吧。 现在的动漫主力消费大军还是80、90后，虽然很多人会为...   89.0                腾讯用户8907323047  2017年09月01日   (5)    11.0  http://i.youku.com/i/UNDU5MjY3MjE0NA==
我有一点想不通，为什么非要做3d，不是说非要3d才能体现好看，感觉就是团队用来练手的作品，质...   78.0                屎一样的痛过44162211  2017年08月15日  (12)    22.0  http://i.youku.com/i/UMTM3Mjc1NzYwOA==
当拳皇不再属于80后，那就不是拳皇了。那些坚毅，热血，火焰，恩怨。都淹没在耍酷的表情，搞怪的...   39.0                           后腿蹬  2017年09月30日   NaN     8.0  http://i.youku.com/i/UNDE0MzEyNTAwMA==
这个世界永远不缺喷子，说这里不好那里不好，人物是没有漫画的好看，那是你看习惯漫画了，动画效果...  157.0                        十殿2010  2017年08月26日  (32)   157.0      http://i.youku.com/i/UMzA4MDg3NDY0
应该是看拳皇剧情是多少人多年以来的情怀。总感觉哪里不对，也许是因为人物模型太差尤其是男角色。...  274.0               优酷手机用户_CWlSnRHC  2017年09月16日  (42)    56.0  http://i.youku.com/i/UMzQxNTYxNDY2OA==
这个世界永远不缺喷子，说这里不好那里不好，人物是没有漫画的好看，那是你看习惯漫画了，动画效果...  157.0                        十殿2010  2017年08月26日  (32)   157.0      http://i.youku.com/i/UMzA4MDg3NDY0
我有一点想不通，为什么非要做3d，不是说非要3d才能体现好看，感觉就是团队用来练手的作品，质...   78.0                屎一样的痛过44162211  2017年08月15日  (12)    22.0  http://i.youku.com/i/UMTM3Mjc1NzYwOA==
期待了很久的动画，终于做出来了，希望能坚持下去，我可是铁杆KOF迷，漫画从前传开始看，然后是...  132.0                          追风GY  2017年09月28日   (8)    23.0  http://i.youku.com/i/UMTY5Njk2MzM4OA==
这个动漫的败笔一是做成不伦不类的3d二是打斗居然有出招表三是在角色性格上完全颠覆了拳皇！既然...   29.0         支付宝用户1476782153771164  2017年09月23日   (9)    57.0  http://i.youku.com/i/UNDA2NTA4OTM5Mg==
买个版权，再请原著过来做动画指导吧。 现在的动漫主力消费大军还是80、90后，虽然很多人会为...   89.0                腾讯用户8907323047  2017年09月01日   (5)    11.0  http://i.youku.com/i/UNDU5MjY3MjE0NA==
                        总比看秦时明月，镇魂街，画江湖好，看那些迟早智障。   10.0          优酷用户1466085817278889  2017年08月09日  (15)    87.0  http://i.youku.com/i/UMzcyODc4MDY2NA==
                      草雉家的母亲感觉比卢卡尔还强，收拾草稚柴舟都不要十秒。  101.0                         喵星星爸爸  2017年09月15日   (4)    14.0      http://i.youku.com/i/UMjgxMjA5NzY=
呵呵，国产仙侠玄幻动漫，刚起步，就开始翻做日漫，刚开始会走路，就准备跑了？你够格吗？国漫？乱...   15.0                          寒暑秋梦  2017年08月17日   (5)    27.0  http://i.youku.com/i/UMzczNDU1NjYxNg==
请问 这是国漫吗？ 如果国漫都是这样的 我敢打赌 只有万分之一的脑残在看。。。。。〖画江湖〗...    5.0                       租个宝马来接你  2017年08月17日   (4)    13.0  http://i.youku.com/i/UNDkxMDE5ODA4OA==
看了这个风格，忽然想起了PS上的3D拳皇：极限冲击，这个动画感觉在国产3D里面挺不错了，好多...    6.0                   LICH-Shadow  2017年08月04日   (3)     5.0      http://i.youku.com/i/UMTU2NDQ3NDQw
      这个剧情简直一塌糊涂，就像喜羊羊灰太郎的编剧硬把拳皇套上去一查，这对白是何等的老套……   15.0                     yu3127821  2017年09月23日   (2)    20.0      http://i.youku.com/i/UNTAwNjA4NDQ=
这3D真不如做成2D，国漫就是这样，明明没水平非要觉得自己技术很屌，现在出的3D还不如20年...   10.0                     BDickBros  2017年09月01日   (8)    19.0      http://i.youku.com/i/UOTQ5MzA4Mjg=
当拳皇不再属于80后，那就不是拳皇了。那些坚毅，热血，火焰，恩怨。都淹没在耍酷的表情，搞怪的...   39.0                           后腿蹬  2017年09月30日   NaN     8.0  http://i.youku.com/i/UNDE0MzEyNTAwMA==
不搜还不知道有个这么个拳皇动漫 居然还是才出的...... 不推谁知道啊... 拳皇动漫一直...    NaN                      Fortune陈          2周前   NaN     NaN      http://i.youku.com/i/UNTM5NDQ4NzYw
为什么只有24集？难道是制作成3D消耗了大量资金？如果真是那样，为什么不做成2D？比如2D动...    3.0                      Y净坛使者OmO  2017年08月17日   (2)     5.0  http://i.youku.com/i/UNDkxMTkzMzkzNg==
这是snk第一次出的动画，以前的动画漫画都不是snk出的，最多是出了后给钱snk让snk承认...   12.0                          九章落地  2017年10月04日   NaN     3.0      http://i.youku.com/i/UMjkxNjQ0MTUy
作为一个资深拳皇迷想说几句：动画人物塑形还算比较还原，至于人物细节处理，人物性格设定，都有些...   10.0                       邱波70636  2017年08月29日   NaN     3.0  http://i.youku.com/i/UMTIwNDQxNDU0OA==
动画制作没有原版对人物细节刻画，比如红丸，这个角色头发长，平时不是直立着，而是落下来的，根本...    7.0          优酷用户1492232001762613  2017年10月14日   NaN     3.0  http://i.youku.com/i/UNDU1ODczOTcwOA==
草薙，坂崎良，特瑞，金家潘，罗伯特，比利等这些人物对比原作游戏，以及之前出的港漫，确实比较糟...    8.0                腾讯用户5921273444  2017年09月22日   NaN     1.0  http://i.youku.com/i/UNDQ1OTU4ODMxMg==
怎么想的？特么5分钟剧情，3分钟前奏，5分钟结尾，偷工减料也不是这样玩？玩不来3d就好好做常...    9.0                          蕾咝喵喵  2017年08月15日   NaN     2.0      http://i.youku.com/i/UMzgwMjM3MzQw
也有可能龙族工作室确实将你们喜欢的那个人搞毁了，但他们已经尽力了呀，他们也喜欢拳皇，想要用最...    7.0                          谷U小笨  2017年09月23日   NaN     5.0  http://i.youku.com/i/UNTAxOTU0MzUyMA==
我觉得既然做了这个经典游戏动漫，就不要舍不得本钱，要不然就别做，剧情这方面我倒是不担心，因为...    8.0          微信用户1464031725024209  2017年08月15日   NaN     2.0  http://i.youku.com/i/UMzY2NDgwNDAwOA==
这种动画片 连日本第一代RGP风格的罗德岛战记都不如 这种动画片的命运就是让日本公司购买版权...    5.0                mdmdmdmdmdmdmd  2017年10月20日   (1)     2.0  http://i.youku.com/i/UMTM2ODk3OTMxMg==
很多年纪大的老烟枪，就算是在小孩子面前，也忍不住吸烟，不管别人怎么说吸烟不好，对你不好，对家...    5.0                       永生永世的眷恋  2017年10月16日   (1)     NaN  http://i.youku.com/i/UMzYxOTc1NjY4MA==
那些觉得配音差，人物烂，时间等的长得，有本事自己做呀，在这里bb屁用，你们tm只知道动嘴，动...   11.0          优酷用户1491114995875861  2017年08月23日   (2)     7.0  http://i.youku.com/i/UNDUyOTY4OTAwOA==
                     别崇洋媚外，也不要固步自封。不做脑残粉，更别做无脑喷子。    7.0                           郁含玉  2017年08月18日   NaN     3.0  http://i.youku.com/i/UNDgzMDUwODg1Mg==
        整体是非常好，但是不应该只有24集，应该要继续更新……一直把拳皇剧情做完整才能完结   11.0                      Y净坛使者OmO  2017年08月18日   (3)     2.0  http://i.youku.com/i/UNDkxMTkzMzkzNg==
我只记得原作里二阶堂的头发平时是自然垂下来的，打架的时候臭美还有怕妨碍视线，自己用静电使头发...    4.0                         长肥了的猪  2017年11月03日   NaN     1.0  http://i.youku.com/i/UMTc4MjcxMzM5Ng==
辣鸡，剧情辣鸡，人设辣鸡，，，随便借个题材歪曲原著，再以一种智商超低的方式表达出来，，，真特...    2.0                      至尊容颜美容美体  2018年01月08日   NaN     1.0  http://i.youku.com/i/UNDU3NDc4MzM0OA==
哈哈哈哈哈呵呵呵呵呵呵呵滑稽好哈哈哈哈呵呵呵呵哒。我好哈哈我久等了半年多的后悔就好哈哈呵呵呵...    5.0                        真是无言解说  2017年09月16日   NaN     7.0  http://i.youku.com/i/UMzQzNjU4MjIwOA==
这次动画是在snk被中国公司收购后的产物，snk在中国的分部，snk中国负责授权和资金提供，...    6.0                        将就的二次元  2017年08月03日   (1)     NaN  http://i.youku.com/i/UMzA1MTU0ODcxMg==
哇涩哇瑟哇塞，终于等到你了，我想哭啊，我终于等到你了，我真的想哭，不要让你的游戏迷失望，一定...    5.0                       这游戏币太少了  2017年08月20日   NaN     1.0  http://i.youku.com/i/UMzQwNDM3ODE4MA==
先不说剧情好不好，这种画面其实还接受得了，一看就是中日合拍的，但KOF这种动作游戏，最重要的...    5.0                微信用户7159597655  2017年08月08日   NaN     2.0  http://i.youku.com/i/UNDM0OTM1MjQ0NA==
背景应该是从拳皇94开始，那么94的背景八神应该是被麦思打入山体内沉睡了一年没参加比赛，期待...    4.0                          左琴右劍  2017年08月23日   NaN     NaN      http://i.youku.com/i/UMTI4MTY0NjAw
kof系列之前官方只有资料没有详细剧情，90年代末期看港漫，千禧年后看同人～时隔20余年官方...    3.0                          哼哼哈和  2017年08月24日   NaN     2.0      http://i.youku.com/i/UNjQ4NzA1NDQ=
我感觉喜欢拳皇的，都希望看的是原作漫画，二阶漫画里边的头发是披肩好不好，最让忍受不了的是要不...    3.0                           赵假摔  2017年08月09日   (1)     1.0      http://i.youku.com/i/UMTg3NzkwNjc2
拳皇系列的格斗游戏和动漫若都能越做越好的话，我是不会放弃支持的，外加狂追秦时~药不能停~23333    3.0                    庄聂K夜神Y克劳德O  2017年08月09日   (1)     NaN  http://i.youku.com/i/UMzI0NDU4OTg2OA==
我感觉这动漫人物性格有点过头 草薙京性格应该是不服输的沉稳 草薙柴舟应该是教育草薙京性格 红...    1.0                       梦想摇滚的火焰  2017年12月29日   (1)     NaN  http://i.youku.com/i/UMTQ4ODY4NzU3Mg==
我是来看动漫的 不是看你们访谈的 ，一集也就10分钟正片，没办法 过2年如果还记得有这部动画...    NaN                优酷用户6807338845  2017年12月29日   (1)     NaN  http://i.youku.com/i/UNDQyMjE4Mjk5Mg==
看了第一集的感想：1.柴舟和草雉京的关系不是很好。可以在kof98里面的两人特殊对白可以看出...    1.0                     只是过客2392D  2017年12月25日   NaN     NaN  http://i.youku.com/i/UMTM4NzkwMDk2MA==
越到后面的集数就越水，尤其是十五集之后，二十分钟的时长，十分钟正品剧情都保证不了，太水了，想...    1.0                         喵星星爸爸  2017年12月24日   (1)     NaN      http://i.youku.com/i/UMjgxMjA5NzY=
说句良心话，其实这个国语配音还不错啦，主要是什么知道不？主要是日语我们听不懂，只能看字幕。而...    NaN                          瞎子想看  2017年12月16日   NaN     1.0      http://i.youku.com/i/UNTYzNDc5OTg4
草稚京脸型LOW爆了，一副小混混嘴脸，没一点主角相。草稚柴舟表情神似光头强有木有，抢食物桥段...    1.0                        nieasd  2017年12月15日   NaN     1.0      http://i.youku.com/i/UMTAxNTMzNg==
唉，一集都没看完 看着好别扭 别喷我 我只看日漫 我们穿得阿迪 耐克 开的宝马 奔驰 不是我...    NaN                       辉哥30395  2017年12月15日   NaN    10.0  http://i.youku.com/i/UNTAxNTAxODczNg==
因为是日本的游戏改编的，哪儿哪儿都是日本味道，听国语合适吗？你们要真那么讨厌日本别看就是了，...    8.0                手机用户_729135975  2017年08月30日   (1)     1.0  http://i.youku.com/i/UMjkxNjU0MzkwMA==
本人从小看遍拳皇漫画 官方剧情了解些 拳皇游戏94到xiii都玩过 这个动漫只能这么说 真的...    2.0                      探寻真理的朴大王  2017年08月15日   (1)     3.0  http://i.youku.com/i/UMTcxMjA0Mzk2NA==
说到我最爱的街机格斗就是拳皇上学那会儿逃课出去打拳皇 动画感觉缺点什么 配音要是日语原版的就...    1.0                          彭l草鱼  2017年11月30日   NaN     1.0  http://i.youku.com/i/UNTM2OTg3MzI3Ng==
不是说3D人设不好。如果能制作成生化危机，最终幻想7圣童降临 那种水准还是可以接受的。 如果...    2.0                       nudaoke  2017年08月10日   (1)     2.0      http://i.youku.com/i/UMTA1NTYzNjQ=
虽然我很讨厌日本但不否定日本在动漫产业还是很下功夫的说，要是日语的就好了，可能是我玩多了拳皇...    NaN                         夏季的随风  2017年11月15日   NaN     NaN  http://i.youku.com/i/UMzE1MTM5MzM0OA==
这部动画的动作指导和武术指导可以和电影媲美了。可以说中国动画的进步，还有西班牙语版，欧美那边...    5.0                微信用户5066394800  2017年10月05日   NaN     2.0  http://i.youku.com/i/UNDY4NjQzNTI1Ng==
作为从街霸到侍魂到饿狼传说再到kof的老游戏玩家，个人表示比起游戏的原著人物，好丑，而且人物...    NaN                           花莫忘  2017年11月04日   NaN     1.0  http://i.youku.com/i/UNDQ1MTAxMTMxNg==
想当年，我拳打南山敬老院，脚踢北海幼儿园，一米以下全放倒，太平间里一跺脚，"不服的站起来！"...    1.0                   李连杰69069284  2017年11月03日   NaN     3.0  http://i.youku.com/i/UMTM5NjAxMjYxNg==
3分钟前情提要加片头，5分钟下集预告加片尾，中间回忆杀加狗血，所谓的打斗1分钟？ 能出这么个...    1.0                       评价比节目精彩  2017年10月22日   NaN     NaN  http://i.youku.com/i/UMzEwMTU2MzMxNg==
     这批活儿，干的确实糙了点……追求画面效果的，追忆童年的老一批观众~确实有点接受不了！！！    4.0                           龙武玄  2017年09月08日   NaN     2.0      http://i.youku.com/i/UMzI0OTY0OTY=
为什么没有给视频扔屎的按钮 要是有我就点他个100下 这做的什么玩意 怪不得仅大陆内地播放 ...    4.0                          夜舞晨露  2017年09月01日   NaN     3.0      http://i.youku.com/i/UMjgzNTM5NjYw
真心毁童年，94年Facebook！你妹啊！大门很少说话，就是石头.还有！小雪呢？！没有小雪...    1.0                微信用户8140522080  2017年08月31日   (1)     3.0  http://i.youku.com/i/UNDI1MTE5MzU0OA==
 snk小厂到处卖产权。。。。没节操了。珍惜吧说不定过两年snk倒闭了，也有可能被某腾收购了，，，    1.0                      轉身寂寞de喧嘩  2017年08月19日   NaN     2.0  http://i.youku.com/i/UMTM5OTU1OTY4NA==
国内授权？这故事都改编了吧，拳皇应该是从饿狼传说开始，杰夫安迪两兄弟才是主角，后才才是草薙，...    1.0                          秦童童童  2017年08月12日   (1)     5.0  http://i.youku.com/i/UMTI4ODEzMDkwOA==
        一股浓浓的国产圈钱作品，打个SNK的旗号就来圈钱了，这画面，也就比爵迹强那么一点点    1.0                 Stanley__Chen  2017年08月10日   NaN     NaN  http://i.youku.com/i/UMjc5MDEwODIyNA==
八神原本是乖孩子，他老爸打不过柴舟，就希望下一代更出色，结果京是个天才，八神喜欢画画，在一个...    1.0          支付宝用户146821115491111  2017年08月09日   (1)     NaN  http://i.youku.com/i/UMzc4OTU4MjYxNg==
有生之年能看到動畫版,,,,,偉大,,,雖然畫風和時間點有點搞笑!還是很興奮!!!希望能把漫...    NaN                          MC基拉  2017年08月04日   (1)     NaN      http://i.youku.com/i/UMjAyNTMyNTIw
国漫配音特色，就是非常人台词（选对配音员没多大问题，问题就出在选错配音员，总而言之每个角色选...    NaN                土豆用户_761431828  2017年08月03日   NaN     NaN  http://i.youku.com/i/UMzA0NTcyNzMxMg==
                  拳皇要是被做成像火影死神那样的动漫，早就稳居日本动漫排行第一了    NaN                 梦想的青年24166072          1周前   NaN     NaN  http://i.youku.com/i/UMjkzMjQ1NDUzMg==
我只想说，日本漫画的严谨严肃的拳皇风格，被国内改的跟谐星一样，不是一类风格，一看就是国内授权...    2.0                    JOJO521123  2017年08月16日   (1)     2.0      http://i.youku.com/i/UMjY0NjQwODQ=
                        顶起来，坐等八神出场。只求出场不像草稚京这么崩画面    2.0                微信用户8958032888  2017年08月13日   NaN     NaN  http://i.youku.com/i/UNDI3NTIzMDIyMA==
  有谁看过之前日本民间做过的几集拳皇动画，人物弄的不错，就是剧情有点莫名其妙，最后都编不下去了…    3.0                          木水水火  2017年09月02日   (3)     NaN      http://i.youku.com/i/UMzA4ODAzMjk2
 毁三观，草积极怎么毁容了，大半怎么回事眼睛呢？有空看看几年前原版公司出的4集动漫，希望有所感受。    2.0          微信用户1466767202238606  2017年08月10日   NaN     1.0  http://i.youku.com/i/UMzc1MjA0ODYzNg==
               粗制滥造的模型，莫名其妙的配乐……给人一种小作坊出的山寨作品的感觉。    NaN               支付宝用户6020972924  2018年03月05日   NaN     NaN  http://i.youku.com/i/UNTQ3MDkzMzAyOA==
一集正片实在是太短了，我觉得不一定要出那么多集，至少正片多一点，一个那么长的片尾，中间还要插...    1.0                  云淡风清38234835  2017年11月07日   NaN     NaN  http://i.youku.com/i/UMzI3NTQzNzA0MA==
