comment  like                        nick     postTime reply  unlike                                user_url
                     我的天啊 真的停更了 不要这样好不好 好不容易有这种视频   NaN        优酷用户1472227067514351           昨天   NaN     NaN  http://i.youku.com/i/UMzk0MTUzMzgwMA==
我觉得可以介绍下国内的城市，如果停更是因为资源的问题。比如四川1个副省级市、17个地级市、3...   5.0                  _120342330  2017年06月18日   NaN     NaN  http://i.youku.com/i/UMTgwNzE0OTIxNg==
亲，可不可以出一期马来西亚海岛潜水的一期，因为大夏天来了，选岛选的很纠结，对OW潜水证也不是...   1.0                         战尕火  2017年05月31日   NaN     NaN      http://i.youku.com/i/UMjA1Nzc5Nzky
               你们是不是傻，先用电脑放这首歌，然后用QQ音乐听歌识曲就可以搜出来啦   1.0         优酷用户146727106392889  2017年04月25日   NaN     NaN  http://i.youku.com/i/UMzc2NzU1MDc1Ng==
             提点意见，旅行这事是要慢慢来的， 这节目的节奏有些快，让人感觉有点浮躁。   NaN                         听时尚  2017年11月27日   NaN     NaN      http://i.youku.com/i/UNzE4NTk2NA==
             为什么不更新了呢，每到周一都会来这个栏目下边看看，很好的节目不要停更啊！   3.0                  Grriezmann  2017年05月30日   NaN     NaN  http://i.youku.com/i/UMzEyNTE3MTY0MA==
                        这都快十一啦，更新啊，老铁，推荐国内的，全指望你了   3.0                    恶魔之吻Troy  2017年09月03日   NaN     NaN  http://i.youku.com/i/UMjYzNTU0MTg5Mg==
                           这视频音质咋这么差？呲呲啦啦的，听着真别扭。   2.0                         天羽越  2017年04月25日   NaN     1.0  http://i.youku.com/i/UMTk3MzYwMDk3Mg==
                       好久好久没有更新了，都有至少5个月了，小编能更新吗？   2.0                   骑行在路上不是梦想  2017年09月22日   NaN     NaN  http://i.youku.com/i/UNDE1NDUzNzkyOA==
                    怎么不更新了 今后一定点赞 很有质量的好节目 希望继续开播   NaN                sony36158443  2017年07月12日   NaN     NaN  http://i.youku.com/i/UMzMzMzc5MTYwMA==
                          真的好美可惜我这些穷人没机会去了！真羡慕有钱人   NaN                 好男人44484745  2017年04月24日   NaN     NaN  http://i.youku.com/i/UMzA3Mzk2ODUwNA==
                            我也想多出去走走 可是荷包没有同意我这么干   NaN                        大杀三千  2017年04月23日   NaN     NaN  http://i.youku.com/i/UMzM0Mjk3NjQzMg==
