comment    like                          nick     postTime  reply  unlike                                user_url
                        当年那个动态漫画挺好看的，就是后面太监了，可惜了！  1560.0          淘宝用户1478880195940767  2017年07月09日  (213)   362.0  http://i.youku.com/i/UNDEzOTAxODUzNg==
这个被分为国漫大概是因为他的原作漫画《时间支配者》是中国的，原作漫画是彭杰大大画的，黑白的，...   782.0                腾讯用户6907452686  2017年07月19日   (81)   232.0  http://i.youku.com/i/UNDExNjY0NDE0NA==
评论区快看不下去了，简单来说就是日本公司买了中国漫画的原稿制作成动漫了，现在是市场，好的本子...   753.0                       至此流年各天涯  2017年07月31日   (99)   281.0      http://i.youku.com/i/UNDg2ODkyODk2
真正的爱国的不是见日喷，见美喷，也不是本国至上，人人都有缺点，国家也是，你们连自己国家内部的...   341.0                   Eternally坠落  2017年08月12日    (6)    11.0  http://i.youku.com/i/UMTM1MTgzNjY0MA==
我也算知道中国为啥出不了好动漫了，自己好好的素材自己不会做，被人家做完之后就喷人家，真不知道...   264.0                  一剑寒霜42964496  2017年08月09日   (19)    41.0  http://i.youku.com/i/UMzM0ODg0NDAzMg==
                        赞我的人一定是英雄盖世英俊无比拥有很多人爱戴的郡主   144.0                    小龙70595036  2017年07月13日    (1)    20.0  http://i.youku.com/i/UMzI1MDUwOTQ5Ng==
        国漫剧情画风好不好不说,主要是国漫配音那种毫无感情的尬聊像念课文一样实在听不下去,   101.0                        葫芦丝大炮酱  2017年08月26日    (7)    17.0  http://i.youku.com/i/UNDM3NTEwMTc3Mg==
怎么说呢，既然是国产漫画，还是希望由国内厂商来做，因为有些作品日本人可能并不理解国产漫画的内...    77.0                    X541269803  2017年07月15日    (8)    45.0  http://i.youku.com/i/UMzYzMjg5NzI3Mg==
评论区快看不下去了，简单来说就是日本公司买了中国漫画的原稿制作成动漫了，现在是市场，好的本子...   753.0                       至此流年各天涯  2017年07月31日   (99)   281.0      http://i.youku.com/i/UNDg2ODkyODk2
这个被分为国漫大概是因为他的原作漫画《时间支配者》是中国的，原作漫画是彭杰大大画的，黑白的，...   782.0                腾讯用户6907452686  2017年07月19日   (81)   232.0  http://i.youku.com/i/UNDExNjY0NDE0NA==
日本人真的是有够可恶的，企图侵蚀我们中国的文化，配音制作全都是日本的，中国就没有参与制作吗？...   139.0         cwzan1479248135711726  2017年07月22日   (73)   468.0  http://i.youku.com/i/UNDE4NjAwMjM1Mg==
我也算知道中国为啥出不了好动漫了，自己好好的素材自己不会做，被人家做完之后就喷人家，真不知道...   264.0                  一剑寒霜42964496  2017年08月09日   (19)    41.0  http://i.youku.com/i/UMzM0ODg0NDAzMg==
                        当年那个动态漫画挺好看的，就是后面太监了，可惜了！  1560.0          淘宝用户1478880195940767  2017年07月09日  (213)   362.0  http://i.youku.com/i/UNDEzOTAxODUzNg==
真正的爱国的不是见日喷，见美喷，也不是本国至上，人人都有缺点，国家也是，你们连自己国家内部的...   341.0                   Eternally坠落  2017年08月12日    (6)    11.0  http://i.youku.com/i/UMTM1MTgzNjY0MA==
怎么说呢，既然是国产漫画，还是希望由国内厂商来做，因为有些作品日本人可能并不理解国产漫画的内...    77.0                    X541269803  2017年07月15日    (8)    45.0  http://i.youku.com/i/UMzYzMjg5NzI3Mg==
又TM日语，真搞笑，中国的作品喜欢出别国的翻译版，而却随意别的不翻译的上架，是唯利是图以至无...     NaN                     一切皆可能-淡定点          3天前    NaN     NaN  http://i.youku.com/i/UNDY5MjI2NDMyNA==
