content  playCount name
                                     真心画质不咋好。内容给赞          0  枪神记
           看的时候感觉很不舒服，就像是无脑热血文，剧情细节渣得一塌糊涂........          0  枪神记
             玩了四年枪神了感觉在过几年鬼玉就要被小学生投票选择淘汰了呜呜呜呜呜呜呜呜          0  枪神记
                                             科技扑救          0  枪神记
                                  kiuhgfdsdfghjkl          0  枪神记
                                              NaN          0  枪神记
                                               牛逼          0  枪神记
                                              嗨嗨嗨          0  枪神记
                                              666          0  枪神记
                                              还可以          0  枪神记
                                   主角太惨了哎哎哎哎哎哎哎哎哎          0  枪神记
                                              525          0  枪神记
                   666666666666666666666666666666          0  枪神记
                                    王者，人生里面还可以换Q币          0  枪神记
                              本人看到第七集 只能说太假了 太做作了          0  枪神记
                                          这太牛了👍。          0  枪神记
                     小帅真他妈丢人，没本事还不严数，自己表现好点别人会那样吗          0  枪神记
                          为啥刀妹和自己打的时间这么短，不应该实力一样吗          0  枪神记
                                   欧尼进塔咯哈YY累哦TCL拍          0  枪神记
                          越看越来气 讲真的 看来这部剧策划 估计也是挫          0  枪神记
卧槽了 国产动漫 每剧男主一开局 都要这么挫? 我特么还不如看日漫 国产 永远他妈的跟不上档...          0  枪神记
                                       ....哈哈哈呵呵呵          0  枪神记
                               好想买母猴啊，但是又想要女狙，咋办？          0  枪神记
                                 任务地图特么全是使命召唤OL的吗          0  枪神记
                                      男主太菜了，感觉没卵用          0  枪神记
                                           无敌啊 老铁          0  枪神记
我觉得从莉安娜到雷亚、猫小萌、戴蒙、苍言、米娅牺牲，这都是学院设计的假象，因为林小帅是枪神的...          0  枪神记
                                  双枪小帅？猫小萌？。。。666          0  枪神记
                                  天啊😱我居然看这么弱智的动漫          0  枪神记
                                    大家记住这是动漫，不要认真          0  枪神记
                       哇！大半个月前12级，现在还是12级，更新真快！！！          0  枪神记
                                     还有大小姐驾到这句台词！          0  枪神记
                         所以女主一直穿着校服长大，红领巾还在😁😁😁          0  枪神记
                               你怎么不明年更新 让我们忘了这个动漫          0  枪神记
                                第二季什么时候出，我都等的不耐烦了          0  枪神记
                                              NaN          0  枪神记
                有的时候 衣服过于暴露 并不适合动漫 国漫并不是暴露才赢得观赏率的          0  枪神记
                                     好晚上好晚上好晚上好晚上          0  枪神记
                                     hhvv vvvvdcv          0  枪神记
                                       6666622222          0  枪神记
一秒一卡，十分潇洒。一走一停，十分有型。3秒一卡，等到我傻。五步一停，摆个造型。一心等待，加...          0  枪神记
                                     怎么不更新了，要气死我啊          0  枪神记
                                     小萌变成了 小黑屋贩子?          0  枪神记
                                       修 会不会变成男医?          0  枪神记
                                              太酷了          0  枪神记
                                      饕餮。。。。。。。。。          0  枪神记
                                        饕餮 打完了 叫爹          0  枪神记
                                    只有12集吖？唔，有点少吧          0  枪神记
                                               bb          0  枪神记
                                  看到一个上字就有不好的预感，唉          0  枪神记
                                               qe          0  枪神记
                                              ewe          0  枪神记
                                       一一列举一一个小时候          0  枪神记
                                       3571457059          0  枪神记
                     感觉现在的每个人都能和王者荣耀里面的角色对上号，同意的赞          0  枪神记
                                       修是没戴面具的男医生          0  枪神记
                    55555555555555555555555555555          0  枪神记
                                       修有可能是反派的人物          0  枪神记
                                               变态          0  枪神记
                                             作者加油          0  枪神记
                                            人物太美了          0  枪神记
                                      发句牢骚，男主穿着很土          0  枪神记
                                           emmmmm          0  枪神记
                                            hhhhb          0  枪神记
                                           什么时候更新          0  枪神记
                                       好喜欢你头发，你呢？          0  枪神记
                             现在的动漫都教人学侥幸心理吗？不凭实力？          0  枪神记
看到这些人物细节，然后结合我的感觉，我知道了：原来可以通过这些细节来让我了解了教官与教官之间...          0  枪神记
    hgvfjyfjyfvhgjuyfghjufgvhjmvfjmncvfjytfhnb mt          0  枪神记
                                       凌不是小帅的妹妹吗？          0  枪神记
         天美老妈，你能把充值弄便宜点嘛，我都要破产了……[大哭][大哭][大哭][大哭]          0  枪神记
                                        看到快思多开心可以          0  枪神记
                                    求第四集图书馆的那段钢琴曲          0  枪神记
                    不会是男主父母是荒的BOSS，深海利用儿子对抗老子的套路吧          0  枪神记
                                    一个星期多更新几集不行吗？          0  枪神记
                                         中途插广告真好玩          0  枪神记
                                       都不选母猴 有点难过          0  枪神记
狗天美毁我枪神纪！想当年天美还没接管时，一些东西不会超过200，自从天美接管后，老子觉醒母猴...          0  枪神记
                                               很好          0  枪神记
                                       更新的太慢了 。。。          0  枪神记
                                     超好看，喜欢，好想当特工          0  枪神记
                          居然不是同一本书⊙∀⊙而且他爸爸写了言情小说？          0  枪神记
                 这两个人怎么干嘛都是一个动作，就像中间有面镜子，只是人不同，哈哈          0  枪神记
                             好看！画面也漂亮！赞！就是更新在快点多好          0  枪神记
                                       鲸鱼与飞鸟是什么书？          0  枪神记
                                       求第四集图书馆的音乐          0  枪神记
                                      凌，眼睛可以再大点哈哈          0  枪神记
                                      好看好看好看好看好看！          0  枪神记
                                       黑色大丽花痴女人？？          0  枪神记
                                      没错，像傻13啊!好逗          0  枪神记
                                    咋没有第八集的预告多点的呢          0  枪神记
                                    为什么不做完再放呢等的急人          0  枪神记
                                     我擦，每队分的刚刚好好，          0  枪神记
                                     这首歌不错哟。你们认为呢          0  枪神记
                                     哥几个减肥感觉有点像开发          0  枪神记
                                     不懂欣赏。。。。。。。。          0  枪神记
                                     魔头就是睡觉去了啊哈哈哈          0  枪神记
                                     第六集前景回顾的音乐是啥          0  枪神记
