comment  like                            nick     postTime reply  unlike                                user_url
     凡事来评论的百分之九十以上都是才发现的！看来我们都是被第三次世界大战之后的回忆给误导了。   2.0                         米有结局的动漫  2017年07月06日   NaN     1.0      http://i.youku.com/i/UMzg4NTMzODIw
                      没有我爱罗和小李的那场战斗吗？想当年我还看得眼角湿润了   6.0             小小鱼1484917481289600  2017年08月27日   NaN     1.0  http://i.youku.com/i/UNDM3MzkzNDMzMg==
                     在重复看一些，也不错，而且也出了博人传火影忍者新时代了。   7.0                           怪怪的乞丐  2017年06月21日   NaN     1.0  http://i.youku.com/i/UNDYwOTM2MTUwNA==
                    从初中就开始追到现在，毕业都五年了(ฅ＞ω＜*ฅ)时间好快   NaN                         小二59852  2017年11月30日   NaN     NaN  http://i.youku.com/i/UNTM4MzIxNTEyNA==
                           我68才知道有这个呜呜呜我不是个合格的粉丝。  10.0            腾讯用户1461982905544803  2017年07月10日   (2)     2.0  http://i.youku.com/i/UMzYxNjgxNzc0MA==
                    经典战役，燃爆了我的青春回忆，燃爆了我的热血，满满的回忆啊   1.0                           最想的还是  2017年11月19日   NaN     NaN  http://i.youku.com/i/UMTMwMzY5NDc2OA==
          感觉火影忍者这部前面还是很值的孩子们去看的，很有教育性。但是后面的博人转什么鬼   1.0                    双子金星97180240  2017年11月18日   NaN     1.0  http://i.youku.com/i/UMTQ1NDEyNzMyMA==
                 好久没看了 依稀的记得当年看到 忍者大战刚开始的时候 就没在追了   NaN                   sherlock_hang  2017年11月17日   NaN     NaN      http://i.youku.com/i/UMzg3MTQzOTU2
  老说好不好的 真要给你们来个大结局你们不迷糊啊不要叫火影那么快结束 看完老子 看儿子有就不错啦   1.0            微信用户1503732297552236  2017年11月13日   NaN     NaN  http://i.youku.com/i/UNDk0MDU5NjE4NA==
                   突然发现个问题，那个卡多那么有钱，为啥不买爆破符把大桥炸了？   NaN            优酷用户1493350993685397  2017年11月06日   NaN     NaN  http://i.youku.com/i/UNDU5MjI1Mjg4OA==
    不是不喜欢博人，只是把有限的心都给了鸣人，没办法再喜欢上另一个同题材的东西，哪怕是鸣人孩子   4.0                  微信用户8030635479  2017年08月29日   NaN     NaN  http://i.youku.com/i/UNDU4MjE5ODQ5Mg==
                   哪个是正版的火影，我是2017年10月13日才开始看第一集耶   NaN            腾讯用户1507896525589945  2017年10月13日   (1)     1.0  http://i.youku.com/i/UNTI1MTUyNTc4NA==
                         是不是漏掉了中忍考试的时候 李洛克VS我爱罗 了   NaN                     HotelMoscow  2017年09月30日   NaN     1.0  http://i.youku.com/i/UMTQ4NTAzMzk0MA==
                                       火影忍者没熊出没搞笑   7.0            微信用户1467876931510458  2017年07月27日   (6)    16.0  http://i.youku.com/i/UMzc4MTk5OTYxNg==
                            重新看还是这么燃，音乐响起好激动，百感交集   3.0                          张良的水淑子  2017年08月29日   NaN     1.0  http://i.youku.com/i/UMTkwNzcxNDg2NA==
