comment    like                            nick     postTime   reply  unlike                                user_url
多谢大家的耐心等待，汪导和小汪们一定会努力创作更加精彩的第三季！把生死交付你我并肩，穿越这火...  1632.0                            玄蚂动画          频道主   (149)   108.0  http://i.youku.com/i/UMzAxNzkwNTUzNg==
               汪导，再不出新集的话，我将会赠送你钛合金阿弗朗特漩涡巨型聚能龙火刀片   243.0            腾讯用户1462003748504948  2017年07月21日    (12)    46.0  http://i.youku.com/i/UMzYxNzMzODIyMA==
                    可以说火线传奇是尸兄的超强新代，福利比尸兄还多，没毛病老铁   143.0                       Napoli丶许白  2017年07月04日     NaN    33.0  http://i.youku.com/i/UMjk0NTMzODI3Ng==
相比第三季已经成熟了许多真不枉费这么长时间的等待也离不开汪导小汪们的努力但是说好赛斯的剧情很...   109.0                       我们丶要为自己而活  2017年05月05日     (3)    15.0  http://i.youku.com/i/UMTM4ODk2MDk0MA==
我是贝尔格里尔斯，曾服役于英国特种部队，我曾登上珠穆朗玛峰顶，也曾穿越冰冷刺骨的北冰洋。 我...   109.0                       云66520416  2017年05月05日     (1)    22.0  http://i.youku.com/i/UMjE5MDc1NDY0MA==
              再不出新集我就给你黄金与白金融合版阿姆斯特朗漩涡涡轮回旋超级加速式刀片    58.0                   最聪明的人95738754  2017年07月24日     NaN    18.0  http://i.youku.com/i/UMzAwNTA4MjM0OA==
汪导，无影和雷神都来了CF这两把武器都可以秒杀了求你把12集的刀锋......他们把终结者干...    44.0            腾讯用户1499606875670721  2017年07月14日     (2)     8.0  http://i.youku.com/i/UNDc5NDA1MjA2MA==
多谢大家的耐心等待，汪导和小汪们一定会努力创作更加精彩的第三季！把生死交付你我并肩，穿越这火...  1632.0                            玄蚂动画          频道主   (149)   108.0  http://i.youku.com/i/UMzAxNzkwNTUzNg==
               汪导，再不出新集的话，我将会赠送你钛合金阿弗朗特漩涡巨型聚能龙火刀片   243.0            腾讯用户1462003748504948  2017年07月21日    (12)    46.0  http://i.youku.com/i/UMzYxNzMzODIyMA==
荒岛，你要再不来就真的活的吊把你弄辣椒面儿胡椒面儿，死神辣椒死亡，撒娇的撒娇。然后再炒了你。...     1.0                  优酷用户8557556860          5天前     NaN     NaN  http://i.youku.com/i/UNDI3OTc0NTI4NA==
相比第三季已经成熟了许多真不枉费这么长时间的等待也离不开汪导小汪们的努力但是说好赛斯的剧情很...   109.0                       我们丶要为自己而活  2017年05月05日     (3)    15.0  http://i.youku.com/i/UMTM4ODk2MDk0MA==
