comment    like                                  nick     postTime  reply  unlike                                user_url
若森这些动漫没一个有结局的，侠岚 不良人 灵主 杯莫停没一个有结局的 旧的没做完就去做新的，...  3770.0                            本兮是氧气缺少会窒息  2017年09月14日  (250)   468.0  http://i.youku.com/i/UMzcxOTg2NDg3Mg==
追了这么久的画江湖系列从不良人到现在的换世门生，不管是画质还是人物设计都比之前精致许多，每一...  1070.0                  优酷用户1502937891118961  2017年09月14日   (46)   357.0  http://i.youku.com/i/UMTI4NTM1NzM4MA==
特意开了会员看了两集，从《不良人》追到《换世门生》每一部都很不错啊，看别人都在吐槽导演填坑慢...   523.0                                A在路上的人  2017年09月14日   (20)   130.0  http://i.youku.com/i/UMTY2OTQ4ODY5Mg==
16岁看秦时明月到第五部，今年25了，国产动漫越来越给力，期间出了不良人 画江湖 天行九歌，...   386.0                                   伟11  2017年09月21日   (19)    46.0  http://i.youku.com/i/UMTQ2MDY3NzEyMA==
看见评论里一直在吐槽《画江湖》挖坑不填坑的问题，这一点我必须要为导演澄清一下，作为死忠粉的宝...   401.0                                扯淡并快乐着  2017年09月14日   (15)   104.0  http://i.youku.com/i/UMTIwNDc5MjUxNg==
《画江湖之换世门生》剧情什么鬼，男主开挂也不是这样开的吧。中了好几枪，还被砍了一斧头竟然没事...   243.0                                你一点不在爱  2017年10月02日   (20)   100.0  http://i.youku.com/i/UMTIwNDQ2MTg2MA==
画江湖越来越烂了，我看了不良人拍的还可以才追到灵主，再补不良人的洞，妈的，能不能像日漫一样敬...   203.0                                 爱宝宝媛媛  2017年09月14日   (15)    71.0  http://i.youku.com/i/UNDUwOTYxODc2NA==
若森新出的《画江湖之换世门生》里面的反派人物梁众也画的太恶心了吧！为什么要把反派设定的这么丑...   160.0                                 想私奔的我  2017年10月02日    (6)    57.0      http://i.youku.com/i/UNjI0NjI3NzYw
我也不建议大家追画江湖了，只追求数量，没有质量，他们感觉技术用上了观众就会买单？？？而且你们...   116.0                        土豆用户_394456763  2017年09月22日    (8)    25.0  http://i.youku.com/i/UMTU3NzgyNzA1Mg==
对你们真的太失望，你门这是在消耗观众的耐心，懂吗，又没有玄机的实力，也没有那么多观众。还不好...    76.0                              Swifty01  2017年09月14日   (14)    18.0  http://i.youku.com/i/UMzE4ODkyNzQ0NA==
若森这些动漫没一个有结局的，侠岚 不良人 灵主 杯莫停没一个有结局的 旧的没做完就去做新的，...  3770.0                            本兮是氧气缺少会窒息  2017年09月14日  (250)   468.0  http://i.youku.com/i/UMzcxOTg2NDg3Mg==
追了这么久的画江湖系列从不良人到现在的换世门生，不管是画质还是人物设计都比之前精致许多，每一...  1070.0                  优酷用户1502937891118961  2017年09月14日   (46)   357.0  http://i.youku.com/i/UMTI4NTM1NzM4MA==
16岁看秦时明月到第五部，今年25了，国产动漫越来越给力，期间出了不良人 画江湖 天行九歌，...   386.0                                   伟11  2017年09月21日   (19)    46.0  http://i.youku.com/i/UMTQ2MDY3NzEyMA==
《画江湖之换世门生》剧情什么鬼，男主开挂也不是这样开的吧。中了好几枪，还被砍了一斧头竟然没事...   243.0                                你一点不在爱  2017年10月02日   (20)   100.0  http://i.youku.com/i/UMTIwNDQ2MTg2MA==
看见评论里一直在吐槽《画江湖》挖坑不填坑的问题，这一点我必须要为导演澄清一下，作为死忠粉的宝...   401.0                                扯淡并快乐着  2017年09月14日   (15)   104.0  http://i.youku.com/i/UMTIwNDc5MjUxNg==
画江湖越来越烂了，我看了不良人拍的还可以才追到灵主，再补不良人的洞，妈的，能不能像日漫一样敬...   203.0                                 爱宝宝媛媛  2017年09月14日   (15)    71.0  http://i.youku.com/i/UNDUwOTYxODc2NA==
对你们真的太失望，你门这是在消耗观众的耐心，懂吗，又没有玄机的实力，也没有那么多观众。还不好...    76.0                              Swifty01  2017年09月14日   (14)    18.0  http://i.youku.com/i/UMzE4ODkyNzQ0NA==
我也不建议大家追画江湖了，只追求数量，没有质量，他们感觉技术用上了观众就会买单？？？而且你们...   116.0                        土豆用户_394456763  2017年09月22日    (8)    25.0  http://i.youku.com/i/UMTU3NzgyNzA1Mg==
若森新出的《画江湖之换世门生》里面的反派人物梁众也画的太恶心了吧！为什么要把反派设定的这么丑...   160.0                                 想私奔的我  2017年10月02日    (6)    57.0      http://i.youku.com/i/UNjI0NjI3NzYw
     我看换世门生时还没有侠岚，现在，侠岚更新都超过换世门生了，打算放弃了是吗？？？？？？？？     NaN                                   柏韵灵           前天    NaN     NaN  http://i.youku.com/i/UNTMzODMxNzYwMA==
火影忍者，更新快吗？海贼王，更新快嘛？你们喜欢的日漫哪个更新快？ 快不代表精，求精不求快，希...     NaN                                  一水杯ゞ          5天前    NaN     1.0  http://i.youku.com/i/UMzE5ODA4MTc5Mg==
这些打架斗殴，单枪匹马意淫的动画片还是少放吧，坑害亲少年，人家日本动画片多有意义，有友情，亲...    23.0                   优酷用户146854562635919  2017年09月24日    (2)    19.0  http://i.youku.com/i/UMzc5OTk0MjYyOA==
其实说句心里话，，不良人，，领主，，还好，交代的听清楚的，杯莫停是真的烂，一开始，觉得挺有心...    15.0                  优酷用户1470269914070915  2017年09月30日    (2)     3.0  http://i.youku.com/i/UMzg2MzU0MDE5Mg==
若森怎么老出这样没节操的动漫，第一集看了一半，这个什么念阳枭不分青红皂白就杀人，而且连一个没...    11.0                        微信用户4943032134  2017年10月19日    (2)     2.0  http://i.youku.com/i/UNDU3MTAxNTUzNg==
主角第一集就可以灭一个帮派他哥都说要从长计议呵呵了，那个堂主都说调查清楚随便你处置，还在背后...    35.0                        土豆用户_683868489  2017年09月24日    NaN     7.0  http://i.youku.com/i/UMjczNTQ3Mzk1Ng==
若森这些动漫没一个有结局的，侠岚 不良人 灵主 杯莫停没一个有结局的 旧的没做完就去做新的，...     2.0                  微信用户1502736891888848  2018年03月03日    NaN     NaN  http://i.youku.com/i/UNDkwNDEzNDk4NA==
         此动漫过于血腥和暴力。不仅夹杂了福利，还带有脏话。小朋友们还是乖乖写作业吧，哈哈    31.0                              wb915915  2017年09月21日    NaN     3.0  http://i.youku.com/i/UNDIzOTk2NjY4NA==
    画江湖越来越血腥暴力，恶心了，这样的东西做出来除了混乱社会，毁人三观，毒害青少年没啥好处。     6.0                                  修真女子  2018年02月06日    NaN     5.0  http://i.youku.com/i/UMjg3MzAyNzkxMg==
看到400万的播放量我就放心了。觉得这公司该检讨下了，说实话看不良人时我觉的不错，后来的灵主...    29.0                  优酷用户1499607163266118  2017年09月28日    NaN     3.0  http://i.youku.com/i/UNDc5NDA3MzQzMg==
真的是不吐不快了！男主角一定要战斗力爆表么？画江湖塑造的全是个人英雄主义，再装B的大佬，看到...    22.0                                   0零℃  2017年09月14日    (1)     1.0      http://i.youku.com/i/UMzQ5ODc0Mjc2
  是不是主角只要帅，耍酷，其他什么就都可以接受。乱杀无辜，一意孤行，不分黑白，自以为是，这样都行     6.0                        优酷用户7248749211  2018年01月07日    NaN     NaN  http://i.youku.com/i/UNDQ3NTE1ODMyNA==
若森这些动漫没一个有结局的， 不良人 杯莫停没一个有结局的 旧的没做完就去做新的，做事没头没...    14.0                          勿忘初心33717521  2017年10月24日    NaN     NaN  http://i.youku.com/i/UMjk1ODY1Nzk3Mg==
毒害18岁以上的小青年也是该抵制禁发行的，与社会主义价值观严重不符合，商人不能一天到晚钻钱眼...     3.0                                  优昙般若  2018年02月14日    NaN     4.0  http://i.youku.com/i/UMjU1NzQ1MDMwOA==
从杯莫停开始，一直暴力血腥教坏儿童少年，全场除了打杀还是打杀人就没啥了，宣扬杀人血腥暴力的负...     3.0                                  优昙般若  2018年02月14日    NaN     6.0  http://i.youku.com/i/UMjU1NzQ1MDMwOA==
看完杯莫停，一直没看。就想看看大家怎么说的，其实真的慢慢粉转路了。这个系列真的不适合我了。已...    17.0                              可樂上締_342  2017年09月23日    NaN     1.0  http://i.youku.com/i/UMzI1MjM1NTg2NA==
除了失望还是失望，真的是烂尾楼……只是用武侠的正邪对抗梗用来套剧情。开坑编不下去了就新出剧。...     8.0                        微信用户5503462844  2017年12月09日    NaN     1.0  http://i.youku.com/i/UNDIzNzUyMDE4MA==
创作个屁，内容那么复杂都能想出来，结局却给不了，这就是坑爹的不负责任，我诅咒若森动漫赶紧倒闭混蛋。    15.0                              0c6c9b96  2017年09月16日    (1)    11.0  http://i.youku.com/i/UMTM3OTg1MjU1Ng==
念子乔有同性恋趋势，明明都快成定局了，为什么要让她为男主而改变，男主身边的女人够多了，不缺她...     2.0                  微信用户1517205256737344  2018年02月06日    NaN     1.0  http://i.youku.com/i/UNTU2NTE5OTE0OA==
大学生毕业设计都比你们做的精，分镜头，长镜头，从来不计算模型大小，你告诉我空间感立体感缺失还...    12.0                  优酷用户1463105901419520  2017年09月19日    (1)     4.0  http://i.youku.com/i/UMzY0MjA5OTQ5Ng==
 杯莫停和不良人二都没结束，是什么意思，不更了吗，什么垃圾公司出的产品，不看了，无头无尾，有始无终    10.0                       支付宝用户5881896554  2017年09月16日    NaN     2.0  http://i.youku.com/i/UNDkyNTUxMzg2MA==
玄机是拖沓几句话就是一集，若森是埋雷！不知道有什么好埋的！结局大家都差不多能猜到！杯莫停，不...    11.0                               法拉利sema  2017年09月14日    NaN     1.0  http://i.youku.com/i/UMzc2NTU5NTQ0NA==
特意开了会员看了两集，从《不良人》追到《换世门生》每一部都很不错啊，看别人都在吐槽导演填坑慢...   523.0                                A在路上的人  2017年09月14日   (20)   130.0  http://i.youku.com/i/UMTY2OTQ4ODY5Mg==
看着真心失望了和心酸，一部没完又出一部，你们对的起支持国产动漫人的心吗？小学老师应该就教会了...     9.0                                  兑少问心  2017年10月10日    NaN     NaN  http://i.youku.com/i/UNDgxNTY2NDY1Mg==
画江湖看是真的毁了，《不良人》很好看，《灵主》还能看，后面的简直不忍直视，给钱都不会看第二集...     8.0                                 浮云子mo  2017年10月05日    NaN     7.0      http://i.youku.com/i/UMjMzNjQ2MTE2
心里没点逼数就别出动漫，还国产动漫良心作，先不说你们前面几部画江湖没更新完，这部放一半没了，...     NaN                                 Ang丶她  2018年03月04日    NaN     1.0  http://i.youku.com/i/UMTcyMjIwMzMyNA==
若森这些动漫没一个有结局的，侠岚 不良人 灵主 杯莫停没一个有结局的 旧的没做完就去做新的，...     1.0                  微信用户1502736891888848  2018年03月03日    NaN     NaN  http://i.youku.com/i/UNDkwNDEzNDk4NA==
    从南天门一直砍到蓬莱东路，我就这样手起刀落，手起刀落，来回砍了三天三夜，我眼睛都没眨一下…     3.0                                 轻快的枇杷  2017年12月25日    NaN     NaN  http://i.youku.com/i/UNTQ1NDM4OTg4OA==
