comment   like                        nick     postTime reply  unlike                                user_url
               有水墨彩铅画的风格，就是细节不够细腻，配音不好，中国动漫事业急需声优  181.0                         莲北玖  2017年11月02日   (7)    24.0  http://i.youku.com/i/UNTI4NzM0Mjg5Ng==
          大哥大姐们，这是动态漫画，画风就是这样子，不知道的，请别喷好吗？有点素质好吗？  156.0        腾讯用户1511584525912837  2017年11月28日   NaN    19.0  http://i.youku.com/i/UNTM3NDAwNzMzNg==
                          明明是个漫画呀，我很喜欢看的漫画，很好看，暖心  135.0              微信用户6615307828  2017年08月11日   (4)    11.0  http://i.youku.com/i/UNDI3MzIxNjkwMA==
                    动态漫画！不一样的表现形式！大家眼界放宽点，也多包容一些！   93.0              优酷用户6768996206  2017年11月19日   NaN     9.0  http://i.youku.com/i/UNDM5NDMyMTU4NA==
动态漫画比较能还原原作，而且经费要求不高，国内动画制作公司也不是很成熟，看过《一人之下》的都...   79.0                      非常怕麻烦君  2017年11月29日   (1)     2.0  http://i.youku.com/i/UNTM1NTc3Mjc3Ng==
                           挺喜欢这种画风，只是动作能不能自然点，连贯点   96.0               JMZ6073578969  2017年08月13日   (1)    22.0  http://i.youku.com/i/UNDE2ODk3OTU2OA==
               有水墨彩铅画的风格，就是细节不够细腻，配音不好，中国动漫事业急需声优  181.0                         莲北玖  2017年11月02日   (7)    24.0  http://i.youku.com/i/UNTI4NzM0Mjg5Ng==
我看不懂日语，所以不会去外网上看日本的观众评论。但是，偶尔也会来优酷看看动漫。那些个简直让我...   19.0              微信用户6441956902  2018年02月26日   (1)     2.0  http://i.youku.com/i/UNDI1MDU1NzE3Mg==
动态漫画比较能还原原作，而且经费要求不高，国内动画制作公司也不是很成熟，看过《一人之下》的都...   79.0                      非常怕麻烦君  2017年11月29日   (1)     2.0  http://i.youku.com/i/UNTM1NTc3Mjc3Ng==
     夏天岛真恶心，抢小新的《狐妖小红娘》版权，幸好现在名字已经写小新，很多人真的都被蒙在鼓里    9.0                       汤姆喵大仙  2018年02月05日   NaN     4.0  http://i.youku.com/i/UNTU5Njc3MDQyOA==
           那些垃圾音效太多了，那种八楞八楞，啾啾啾，噔噔噔什么的，别加了。太low了。   12.0                     谁吃了我的脑子  2017年12月27日   NaN    11.0  http://i.youku.com/i/UMzMzMjU2MzIyOA==
                    动态漫画！不一样的表现形式！大家眼界放宽点，也多包容一些！   93.0              优酷用户6768996206  2017年11月19日   NaN     9.0  http://i.youku.com/i/UNDM5NDMyMTU4NA==
          大哥大姐们，这是动态漫画，画风就是这样子，不知道的，请别喷好吗？有点素质好吗？  156.0        腾讯用户1511584525912837  2017年11月28日   NaN    19.0  http://i.youku.com/i/UNTM3NDAwNzMzNg==
                  这是动态漫画，相当于配了音的漫画呀，不能以动漫的标准来衡量的。   18.0                         町零零  2017年12月13日   NaN     2.0  http://i.youku.com/i/UNDE5OTQ2OTI0NA==
真心不是不支持国漫 莫名其妙的两三个礼拜( •̥́ ˍ •̀ू )都不更新是怎么回事？完结吗...   16.0              Eva18092631112  2017年11月03日   (2)    13.0  http://i.youku.com/i/UNDU3Nzg3NDg4MA==
                          明明是个漫画呀，我很喜欢看的漫画，很好看，暖心  135.0              微信用户6615307828  2017年08月11日   (4)    11.0  http://i.youku.com/i/UNDI3MzIxNjkwMA==
                     怎么说呢...画的功夫绝对到家了。动的功底不足！有点遗憾    4.0        优酷用户1465860140814986  2017年12月13日   NaN     NaN  http://i.youku.com/i/UMzcyMzQ3MDUwNA==
                     希望你们把画风再调整下吧。剧情是可以的，被封面吸引进来的   10.0                          秭苏  2017年12月16日   NaN     4.0  http://i.youku.com/i/UMTgwOTIwMDY4MA==
                      别弃，看到后面会庆幸的。哈哈哈，后面超搞笑，画风也很美    4.0              qingjiujiu0304  2017年11月27日   NaN     NaN  http://i.youku.com/i/UNDE1MjA3MDcxNg==
                         配音不大搭配，童音呢。感觉和隔壁狐妖声音差不多。    NaN                        子曰未归          2周前   NaN     NaN  http://i.youku.com/i/UNDE2MTMwNDI3Mg==
中国确实需要声优！！！！！！！！！制作动漫的人啊！！！！！！！一定不要忽视声音这个问题！！！...    4.0              腾讯用户8277447518  2018年02月20日   NaN     NaN  http://i.youku.com/i/UNDM2MTE4MDYyOA==
                           挺喜欢这种画风，只是动作能不能自然点，连贯点   96.0               JMZ6073578969  2017年08月13日   (1)    22.0  http://i.youku.com/i/UNDE2ODk3OTU2OA==
                                               加油   34.0                        淡逝时光  2017年09月12日   (3)     3.0  http://i.youku.com/i/UNDExMjE3MzU2OA==
