comment   like                     nick     postTime reply  unlike                                user_url
哎，真让人失望！一二部还可以，第三部看了一集就不想看了，最后一句送个写剧本的，他喵女主角都换...  324.0                    陈子豪ex  2017年08月06日  (11)    68.0  http://i.youku.com/i/UMzg4MDgxMTAxMg==
想想这个开头还挺好的解释了上两季的因果和疑问，又在为后者设悬念想开前文的冲动，又为新的一章埋...  233.0                     丧尸卖萌  2017年08月26日   (5)    34.0  http://i.youku.com/i/UNDAxODYyNjAwMA==
        摸着良心的说，真没第一季好看，主题曲也不好听，第一季什么都好，GA-17变身帅爆了  125.0                 Asterios  2017年09月15日   (2)    32.0  http://i.youku.com/i/UNDUxMjA2NjA0NA==
编剧和导演回家生孩子去了吧！和前几季相比品质下降了好多，让人感觉看着有点累；好多设定逻辑短踣...   79.0                    M1-ge  2017年08月03日   (1)    15.0      http://i.youku.com/i/UMjYxMzg2NzMy
第三季给我的第一印象是不如前两季。。。。。。原因是主题曲是英文的。。。。。。。。。。。。。。...   35.0           土豆用户_763359495  2017年09月19日   (1)     6.0  http://i.youku.com/i/UMzA1MzQzNzk4MA==
光线处理比前两部要好很多，有新的视觉冲击感，剧情比以前更加沉重，就是在重要道具的用名上不要这...   27.0      DevilMayCry40417238  2017年08月03日   NaN     5.0  http://i.youku.com/i/UMTczNDM4ODg2OA==
哎，真让人失望！一二部还可以，第三部看了一集就不想看了，最后一句送个写剧本的，他喵女主角都换...  324.0                    陈子豪ex  2017年08月06日  (11)    68.0  http://i.youku.com/i/UMzg4MDgxMTAxMg==
想想这个开头还挺好的解释了上两季的因果和疑问，又在为后者设悬念想开前文的冲动，又为新的一章埋...  233.0                     丧尸卖萌  2017年08月26日   (5)    34.0  http://i.youku.com/i/UNDAxODYyNjAwMA==
        摸着良心的说，真没第一季好看，主题曲也不好听，第一季什么都好，GA-17变身帅爆了  125.0                 Asterios  2017年09月15日   (2)    32.0  http://i.youku.com/i/UNDUxMjA2NjA0NA==
编剧和导演回家生孩子去了吧！和前几季相比品质下降了好多，让人感觉看着有点累；好多设定逻辑短踣...   79.0                    M1-ge  2017年08月03日   (1)    15.0      http://i.youku.com/i/UMjYxMzg2NzMy
    辣鸡第三季，画风辣鸡的一笔，剧情恶心的一笔，毁我青春败我童年，纳米核心在第二季已经完结了。   17.0                    zzh60  2017年10月22日   NaN     9.0  http://i.youku.com/i/UMzc2Nzc3NjgzMg==
