content  playCount      name
                                 现在最多就只能看十分钟了，无语啊          0  超神学院之雄兵连
                                      13615111989          0  超神学院之雄兵连
                            这么说。蔷薇是卡尔跟莫甘娜一起制造的基因体          0  超神学院之雄兵连
                                      怎么看不了啊第十集！？          0  超神学院之雄兵连
                                  在坐的个位只配闻我神卡尔的屁。          0  超神学院之雄兵连
                                  有谁记得曾经的啦啦啦德玛西亚。          0  超神学院之雄兵连
                                    道不同 不相为谋 …………          0  超神学院之雄兵连
                               没vap了，没看到后面的😭😭😭          0  超神学院之雄兵连
                            所以说，凉冰喜欢蔷薇，是因为蔷薇是时空啊。          0  超神学院之雄兵连
                                      突然感觉有种淡淡的忧伤          0  超神学院之雄兵连
                                      华业也是个主神吗？……          0  超神学院之雄兵连
                                       罪魁祸首只是死神卡尔          0  超神学院之雄兵连
                               星河之力让我失望，还是爱我的女王吧！          0  超神学院之雄兵连
                                   有深度的一集，我看得很有感触          0  超神学院之雄兵连
                               15分钟之后的三分钟我居然看了十几遍          0  超神学院之雄兵连
                                 为什么我看不了的 在一个地方卡住          0  超神学院之雄兵连
卡尔是人。\n凉冰是神(天使)\n人的生命是有限的。\n所以，卡尔把自己变成幻体。\n卡尔永...          0  超神学院之雄兵连
♬ 我录的一段娇喘,点赞自动播放哦 00:00◙▬▬▬▬▬▬▬▬▬▬02:30 ⏮ ⏪ ▶️...          0  超神学院之雄兵连
更新慢，中国漫画靠你，你也要争气阿，这样让看众会不耐烦的，这样就会失去看众的心，没有了心，做...          0  超神学院之雄兵连
                                 彦啥时在出场啊，蔷薇是不是会死啊          0  超神学院之雄兵连
                         根本越来越离谱，看都看不求懂，根本不符合逻辑推理          0  超神学院之雄兵连
                                假如我有钱，一定弄个h版的给大家看          0  超神学院之雄兵连
                故事的脉络日益杂乱！导演并不在意故事，只在意更多的人物了。可笑至极          0  超神学院之雄兵连
                      时间太短了，唉，能不少于15分钟吗？，这要求应该不高吧          0  超神学院之雄兵连
                                    我神卡尔.........          0  超神学院之雄兵连
                 说句实在话 ，虽然我是玩寒冰的，但我特别看不顺眼雄兵连里的寒冰！          0  超神学院之雄兵连
                                这集卡尔与莫甘娜的信息量有点大。。          0  超神学院之雄兵连
                                     感觉死神这是要洗白，😁          0  超神学院之雄兵连
                                      这是第一季，乾坤是下篇          0  超神学院之雄兵连
                                   彦真的在费雷泽保护爱妮希德。          0  超神学院之雄兵连
♬ 我录的一首歌,点赞自动播放哦 00:00◙▬▬▬▬▬▬▬▬▬▬02:50 ⏮ ⏪ ▶️ ...          0  超神学院之雄兵连
                                            好看的很啊          0  超神学院之雄兵连
                                   越看越想看！支持雄兵连！！！          0  超神学院之雄兵连
                          很无奈[憨笑][憨笑][憨笑][憨笑][憨笑]          0  超神学院之雄兵连
我想问一下 连外星高级文明都没有搞定的 恒星能源驱动系统 怎么就被地球莫名其妙的开发了 还用...          0  超神学院之雄兵连
                                  感觉加入国家元素没什么看点了。          0  超神学院之雄兵连
                                       天天搞来搞去 啥玩意          0  超神学院之雄兵连
                        打了那么久，地球还收复不回失地，银河之力也太那啥了          0  超神学院之雄兵连
                                     等了那么久，总算出来了。          0  超神学院之雄兵连
                     坚持自我，国漫终会发展到中国文化的那般渗透力，领跑世界。          0  超神学院之雄兵连
                                             人变样了          0  超神学院之雄兵连
                           这个女首长怎么这么漂亮，身材这么好，不科学。          0  超神学院之雄兵连
                                               好看          0  超神学院之雄兵连
                                     来吧吐槽吧嘿嘿嘿跟我一起          0  超神学院之雄兵连
                          一帮王者戴着青铜.青铜坑死了王者然后的超神之路          0  超神学院之雄兵连
                         我咋赶脚着雄兵连各种被挨打？？？？？啥时候能雄起          0  超神学院之雄兵连
                                   果然是我社会大闯哥，就是牛逼          0  超神学院之雄兵连
                                  赞赞赞[呲牙][呲牙][呲牙]          0  超神学院之雄兵连
                                              哈哈？          0  超神学院之雄兵连
                                         猴哥你在那快出来          0  超神学院之雄兵连
                                             好好看看          0  超神学院之雄兵连
                                            太精彩了。          0  超神学院之雄兵连
                                         猴哥才是最厉害的          0  超神学院之雄兵连
                                              666          0  超神学院之雄兵连
                                           厉害了我的哥          0  超神学院之雄兵连
                                        越看月没劲！放弃了          0  超神学院之雄兵连
                                              NaN          0  超神学院之雄兵连
                                              NaN          0  超神学院之雄兵连
                              isksosksododkdodosl          0  超神学院之雄兵连
                                    lj没有那个什么。我忘了，          0  超神学院之雄兵连
                               还有雄2的存在！！看导演微博，萨拉雷          0  超神学院之雄兵连
                         不知道猴哥能不能打赢这个华烨，真的看不惯这个华烨          0  超神学院之雄兵连
                              一看就是要让彦来更新小伦的雄心的硬件。          0  超神学院之雄兵连
华烨得到了卡尔研制的虚空套装 可以在前期虐葛小伦 但是只要雄芯的运算速度跟上来 华烨就是个弟...          0  超神学院之雄兵连
                                      那几个怪好恶心....          0  超神学院之雄兵连
                         好尼玛狗屎的剧情。从刚开有能力反击。马上就玩儿完          0  超神学院之雄兵连
                   越来越不好看。搞的那么科幻，毛用，我要看的是肉搏的打斗场面。          0  超神学院之雄兵连
                                       更新更新 赶紧更新啊          0  超神学院之雄兵连
                                            我帅不帅？          0  超神学院之雄兵连
          我只想说一句这是第三季 怎么黑甲（说是超神学院第四季）都出来了 第三季还没完呢          0  超神学院之雄兵连
银河之力就只会玩大剑？？靠雄心？？要是这些都没有，哪她不是废物一个？每个人都叫她银河之力闹了...          0  超神学院之雄兵连
                  他开启的不是雄心2.0只是雄心，你们回头仔细看，可以打败华研的          0  超神学院之雄兵连
                                  艾尼熙德旁边有个护卫很像是彦啊          0  超神学院之雄兵连
           这导演感觉是个受虐狂 这么多季下来 每一季都是正义这边被血虐 看得真尼玛没劲          0  超神学院之雄兵连
                                      四亿次播放，好厉害NB          0  超神学院之雄兵连
       导演是哪个洒比给我站出来奶奶的敢把我的银河之力能的这么弱，你站出来我保证不打死你😡          0  超神学院之雄兵连
                                      这剧情 越来越有意思了          0  超神学院之雄兵连
                                         这放的什么玩意？          0  超神学院之雄兵连
如果蕾娜启动太阳耀斑还是有希望的，但是华烨不会站着等你干他啊，小伦的雄芯被华烨秒关，接下来的...          0  超神学院之雄兵连
                  信爷可是一打300 武器才说一打10， 在这里面信爷跟小兵一样          0  超神学院之雄兵连
                 作者什么时候可以看到猴哥一棍敲死华烨，我看它很不爽，好想弄死它。          0  超神学院之雄兵连
我记得潘震与卡尔对过话，当时用火烧过卡尔，卡尔很愤怒却没做什么，当年猴哥妖祸乱中原，被潘震震...          0  超神学院之雄兵连
            本来不想评论的，看到华烨屌毛的敢这样说猴哥看着就不爽，华烨那菜鸟什么时候死          0  超神学院之雄兵连
                                          嘉文哪里去了？          0  超神学院之雄兵连
                     彦死了的话不看了，LOL已经很久没玩了，我特么也老了很多          0  超神学院之雄兵连
                                       华哗是天使彦的父亲。          0  超神学院之雄兵连
                             皇子.易他们呢？从天河战役之后就不见了。          0  超神学院之雄兵连
                              终于知道凯莎有多牛逼了，华烨都斗不过她          0  超神学院之雄兵连
                                现在才知道凯莎多厉害了，能打败华烨          0  超神学院之雄兵连
       还有孙悟空大战葫芦兄弟 孙悟空大战真假圣斗士 孙悟空加入星球大战 你们看过没？？？？          0  超神学院之雄兵连
                                      一直在追啊！终于更了！          0  超神学院之雄兵连
                                     莫依来了666，，，，，          0  超神学院之雄兵连
                                     第四集末尾是什么歌?😊          0  超神学院之雄兵连
                      多一些外星人比较好，像星际之门一样，还有就是更新太慢，          0  超神学院之雄兵连
                                      真有地丑工作室，不会吧          0  超神学院之雄兵连
                         现实很残酷，我就是现实。\n完了，灵犀妹子迷上了          0  超神学院之雄兵连
不是说银河之力的剑是宇宙第一嘛？不是很厉害现在怎么变得真么菜，开始打猴哥的时候十万斤，不是谁都不碎          0  超神学院之雄兵连
                      如果编辑编的好，我看这一周十分钟，能送各位走！也放不完          0  超神学院之雄兵连
                                      我以为没了难过死了哈哈          0  超神学院之雄兵连
                                      良心国漫，希望越做越好          0  超神学院之雄兵连
                                       我决定不看了。。。。          0  超神学院之雄兵连
                                     这级，好凶啊。～～～～～          0  超神学院之雄兵连
                                  应该还有下一部吧。。。。。。。          0  超神学院之雄兵连
                                     饕鬄王和葛小伦谁厉害？？          0  超神学院之雄兵连
