content  playCount  name
                                什么时候，出来第二部呢我非常喜欢看          0  足球江湖
                                       撒贝宁顿悟空传配合的          0  足球江湖
                                       i丶丶丶丶丶丶丶丶丶          0  足球江湖
                                       挺暖和了啊1啊1😄          0  足球江湖
                                   老板，给我来一打精英队的队友          0  足球江湖
                                   赶紧出第二季啊！我很想看啊！          0  足球江湖
                                 有没有觉得那个疯子男的比女主好看          0  足球江湖
                   翟化龙，翟华，，，，，，，，，，，，，翟华龙实在是太牛叉啦。          0  足球江湖
                                       我是你爸爸去哪儿旅行          0  足球江湖
                                  我叫马6666每夭能吃一吨屎。          0  足球江湖
                              这些都是功夫好不好？直接叫功夫足球吗？          0  足球江湖
                                       好好看，喜欢的点赞。          0  足球江湖
                                    公子说话好娘……有点像公公          0  足球江湖
                                      帅个毛丑瞎了……还公子          0  足球江湖
                                      你这个什么时候会播出？          0  足球江湖
                                第二季什么时候出来呀，已经快一年了          0  足球江湖
                                 介绍一下有哪些好看的足球动漫吗？          0  足球江湖
                                         根本就不能好好看          0  足球江湖
                                         根本就不能好好看          0  足球江湖
                                               好卡          0  足球江湖
                                    一生一事爱足球。。。。。。          0  足球江湖
                                      龙华太厉害了\n大棒了          0  足球江湖
                                       希望快点播放第二季。          0  足球江湖
                                     第二秀快乐快乐(✪▽✪)          0  足球江湖
                                     ☆田第一个月恶鬼额人工骨          0  足球江湖
                                     怎么一整就停一会就疼了？          0  足球江湖
                                       希望快一点更新的点赞          0  足球江湖
                    额，能不能把他们的阵型在下一集播出来，打比赛，得有阵型啊。          0  足球江湖
                                       好看就是看的太快了。          0  足球江湖
                                   你们都是王八蛋，你好王八蛋。          0  足球江湖
                                              NaN          0  足球江湖
                                     666666666666          0  足球江湖
                                              NaN          0  足球江湖
                                              NaN          0  足球江湖
                                       导演是个不懂足球的人          0  足球江湖
                              😍😍😍👏👏👏👏特別好看！          0  足球江湖
                                           有第二季吗？          0  足球江湖
                                               加油          0  足球江湖
                                              666          0  足球江湖
能更新快点吗！！！！！希望和我们的少年时代一样每天都更新呀！\n快快快快快快快快快快快快快快...          0  足球江湖
快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快...          0  足球江湖
                                            这个没了呀          0  足球江湖
                                 疯子会催眠术！[强][强][强]          0  足球江湖
                                   一场比赛要很多节没有办法看了          0  足球江湖
                                            更新太慢了          0  足球江湖
                                              好厉害          0  足球江湖
                                       好看是好看就是太短。          0  足球江湖
                                   随便组成一队，就是世界冠军了          0  足球江湖
                                      不更新的话作者就是🐷          0  足球江湖
希望牙虎和疯子能进精英队。😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔���...          0  足球江湖
                                              太慢了          0  足球江湖
                                               更新          0  足球江湖
                                            简直慢到死          0  足球江湖
                       不是从山里出来的吗、怎么还知道“神马”这样的流行语？          0  足球江湖
                                         都不更新的快一点          0  足球江湖
                              我们的少年时代都大结局啦，这才放几集？          0  足球江湖
                                   一集也太快了，开头也太长了。          0  足球江湖
                                    更新太慢了！快快快快快快快          0  足球江湖
                                             好短，靠          0  足球江湖
            为嘛更这么慢，这么好看可是就这样一集完了，还蛮短，一星期才更一次呜呜呜呜呜          0  足球江湖
                                          每集的片段好短          0  足球江湖
但！这！这么晚餐厅的老板的话！这么晚餐厅的老板的话！这么晚餐厅的老板的话！这么晚餐厅的老板的...          0  足球江湖
                                     星期三，24:00后更新          0  足球江湖
                                      翟华龙好帅[酷][酷]          0  足球江湖
                                               ！l          0  足球江湖
                                   精英队这几个也太胆小了，7集          0  足球江湖
                                                牛          0  足球江湖
                                           一九一中卑鄙          0  足球江湖
                                      一九一中不就是想国安嘛          0  足球江湖
                                               坑爹          0  足球江湖
                                              块更新          0  足球江湖
  快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快          0  足球江湖
                                            太好看了！          0  足球江湖
                                         bgm都是盗来的          0  足球江湖
                                          什么时候更新？          0  足球江湖
                                    你们要再不更新，我就投诉。          0  足球江湖
                                               与人          0  足球江湖
                 好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看          0  足球江湖
       快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快快更新啊！          0  足球江湖
                                        唉太垃圾了画景不好          0  足球江湖
                  更新得慢死了，1.5倍播放速度，跳过开头结尾30分钟看完所有。          0  足球江湖
                                      每天更新三集片就好了。          0  足球江湖
                                            每天更新二          0  足球江湖
             太不好看明明第七集就已经把上边的眼了然后第八集又出现了第七集的剧情得什么          0  足球江湖
                                                快          0  足球江湖
                                               快点          0  足球江湖
                                                快          0  足球江湖
                                              NaN          0  足球江湖
                                             挺好看的          0  足球江湖
                                              NaN          0  足球江湖
                                     太好看了，就是视频太短了          0  足球江湖
                                            快快更更新          0  足球江湖
                                         希望能快一点更新          0  足球江湖
                                      什么时侯更新？？？？？          0  足球江湖
                                     跟旋风十一人多少有些类似          0  足球江湖
                         真的是醉了，竟然用游戏天天炫斗的游戏配音。恶心。          0  足球江湖
                      精英足球队有几个胆小鬼，一九一中就是脾气暴躁而已，6集          0  足球江湖
                                          足球江湖很好看          0  足球江湖
                               以我看来要等国足出线，才能更新完吧。          0  足球江湖
                                  别总是吹更的，导演很不容易了。          0  足球江湖
                                              太环了          0  足球江湖
                                             太好看了          0  足球江湖
娥xoxokohehurehtewhutftregurugfuthregurugrgrigh...          0  足球江湖
                                         那发型，杀马特啊          0  足球江湖
                                        感觉模仿超智能足球          0  足球江湖
更新的快一点多好啊，一个月都不更新，有病吧！更的这么慢还不如别出这部动漫勒，浪费人家的时间！...          0  足球江湖
                                             更新快点          0  足球江湖
                                             [发怒]          0  足球江湖
                              好看是好看，但更新太慢。同意的点赞👍          0  足球江湖
                                          一九中昰王扒蛋          0  足球江湖
                                          就是就是大慢了          0  足球江湖
                                              太慢了          0  足球江湖
                                                0          0  足球江湖
                                       多久更新一次？？？？          0  足球江湖
                                            更新太慢了          0  足球江湖
                           大概四个月才能更完，一个季度都过去了都更不完          0  足球江湖
                 更新太慢了。一星期才一集。总共有26集呢。在好几个月才能更新完。          0  足球江湖
                                              NaN          0  足球江湖
                   更新太慢了，不够看，希望能快点更新，同意的点个赞(≧▽≦)。          0  足球江湖
←我若成佛 天下无魔 我若成魔 佛奈我何 若天压我 劈开这天 若地拘我 踏碎这地 他宁愿死 ...          0  足球江湖
                                    这歌是给猪听的吗，难听死了          0  足球江湖
                        动漫画质不错，可是更新时间太长，不能理解，不能理解          0  足球江湖
                                            度日如年啊          0  足球江湖
                                                快          0  足球江湖
                                   太慢了我等了上学了，不看了。          0  足球江湖
                                      什么时候更新。快点更新          0  足球江湖
                                     什么时候更新？第二季啊？          0  足球江湖
                                                ？          0  足球江湖
                                             什么更新          0  足球江湖
                                      有木有觉得疯子好看😍          0  足球江湖
                                     一集五分钟，真够墨迹的。          0  足球江湖
                                           马特，啰嗦货          0  足球江湖
                   挺好看的！！！！就是更新太慢了！！！！导演更新快一点！！！！          0  足球江湖
                                       更新太慢了！！！！！          0  足球江湖
                                    更新太慢要看到猴年马月了。          0  足球江湖
                                          这个足球太帅J          0  足球江湖
                                             工夫足球          0  足球江湖
                                              太少了          0  足球江湖
                                              更新慢          0  足球江湖
                                              哇咔咔          0  足球江湖
                                             太少了。          0  足球江湖
                                               好看          0  足球江湖
                                      刚开看就没了搞笑来的？          0  足球江湖
                                           火星的足球吧          0  足球江湖
                        更新有点慢哦，而且一集一半以上都是看过的[发呆]，          0  足球江湖
                                                看          0  足球江湖
                  你们不想看了就直说，导演更多少是它的事，就算不更，你们也管不着          0  足球江湖
         照这种速度，正常更新的就几分钟，其他都是上集放过得。还26集，换做电影时间都嫌短          0  足球江湖
                                        什么时候出 第二部          0  足球江湖
                                             [憨笑]          0  足球江湖
                                              好慢啊          0  足球江湖
                                          直接更新完多好          0  足球江湖
                                          什么鬼 看不懂          0  足球江湖
                     犯规了，裁判也不吹，太逗了，一般这种动作直接红牌罚下的。          0  足球江湖
                                       哈哈哈哈哈哈哈哈哈哈          0  足球江湖
                                               放着          0  足球江湖
                                    第二季，希望凌语风是男主角          0  足球江湖
                                          怎么还没有新的          0  足球江湖
                                       vip什么才可以开起          0  足球江湖
                           东皇队比一九一中更可怕，精英队加油啊，25集          0  足球江湖
                                            多久才更新          0  足球江湖
                                             花都谢了          0  足球江湖
                                              快点吧          0  足球江湖
                                         不行啊太慢了丢人          0  足球江湖
                                一集才10分钟左右，也太短了吧！？          0  足球江湖
                                             中国武术          0  足球江湖
                                     足球江湖里面的男主角好帅          0  足球江湖
     希望导演更快一点，也希望有第二季！永远支持导演这部电视太好看啦！！！！！！！！！！！！！          0  足球江湖
     希望导演更快一点，也希望有第二季！永远支持导演这部电视太好看啦！！！！！！！！！！！！！          0  足球江湖
                                               举报          0  足球江湖
                                      一个星期才更新一级去死          0  足球江湖
                                      U盾就多喝点觉得就到家          0  足球江湖
                                         ID就觉得解放军          0  足球江湖
                           社会实践这些事非要和我赌u额依然等哈等哈回答          0  足球江湖
                                           爱孤风是重点          0  足球江湖
                                              爱孤风          0  足球江湖
                                          快点更新第二继          0  足球江湖
                                               就是          0  足球江湖
                           希望导演更快点\n片尾曲太长\n希望剧情长点          0  足球江湖
                                               香菇          0  足球江湖
                                               你。          0  足球江湖
                                             喏图库他          0  足球江湖
                                 我也希望有第二季，真是太好看了。          0  足球江湖
                                               挺好          0  足球江湖
                                              NaN          0  足球江湖
                                              NaN          0  足球江湖
                                              太慢了          0  足球江湖
                                              慢，卡          0  足球江湖
                                             有没有人          0  足球江湖
                                         多长时间更一集？          0  足球江湖
                                         快快快快快点更新          0  足球江湖
                                         希望能快一点更新          0  足球江湖
                                            快点更新呀          0  足球江湖
                                            每天更新二          0  足球江湖
                                            这也太快了          0  足球江湖
                                       这更新时间也太慢了吧          0  足球江湖
                                               快点          0  足球江湖
                                               快点          0  足球江湖
                                          快点更新！！！          0  足球江湖
                                             太好看了          0  足球江湖
                                             求快更新          0  足球江湖
                                             还有两天          0  足球江湖
                                                快          0  足球江湖
                                                快          0  足球江湖
                                           大慢了！！！          0  足球江湖
                                           还没看够呢！          0  足球江湖
                                           几天更新一会          0  足球江湖
                                           看的热血沸腾          0  足球江湖
                                           快更，快更。          0  足球江湖
                                           思考的能力。          0  足球江湖
                                bvhhhjjhbknvhjbvj          0  足球江湖
                                      一九一中不就是想国安嘛          0  足球江湖
                                            电梯机房的          0  足球江湖
                                            更新慢死了          0  足球江湖
                                            更新太慢了          0  足球江湖
                                               更新          0  足球江湖
                                         那发型，杀马特啊          0  足球江湖
                                              太慢了          0  足球江湖
                                            更新太慢了          0  足球江湖
                                                短          0  足球江湖
                                               好看          0  足球江湖
                                     跟旋风十一人多少有些类似          0  足球江湖
                                            更新太慢了          0  足球江湖
                                             更新快点          0  足球江湖
                                               沙发          0  足球江湖
                                          就是就是大慢了          0  足球江湖
                                             太好看了          0  足球江湖
                                          足球江湖很好看          0  足球江湖
                                             [发怒]          0  足球江湖
                                              太环了          0  足球江湖
                                              太慢了          0  足球江湖
                                                0          0  足球江湖
                                      一星期一集 ，还那么短          0  足球江湖
                                 太少啦这末多天才更新一集，太贱拉          0  足球江湖
                                    就是有点短呀，你们觉得呢？          0  足球江湖
                                        这么短还不如不拍呢          0  足球江湖
                                想更新好久的 星期三才更新一集😭          0  足球江湖
                                    一九中已经犯规了!😡😡          0  足球江湖
娥xoxokohehurehtewhutftregurugfuthregurugrgrigh...          0  足球江湖
                                    慢慢慢慢慢慢慢慢慢慢慢慢慢          0  足球江湖
                                              NaN          0  足球江湖
                                              NaN          0  足球江湖
                                              NaN          0  足球江湖
                                              NaN          0  足球江湖
                                              NaN          0  足球江湖
                                              NaN          0  足球江湖
                       人家还要画画，还要配音，还要什么什么的当然更新慢喽。          0  足球江湖
                             更新的太慢啦，这个工作室也太，垃圾了吧？          0  足球江湖
               又断又慢，最重要的是一集有几分钟的回忆，不然直接放4分钟，没回忆得了          0  足球江湖
                          更新起来真他妈慢啊，但是看起来根本就没有几分钟          0  足球江湖
                        你要是 天天更新 我天天看 你每出一次动漫 我都看          0  足球江湖
                  你们不想看了就直说，导演更多少是它的事，就算不更，你们也管不着          0  足球江湖
         照这种速度，正常更新的就几分钟，其他都是上集放过得。还26集，换做电影时间都嫌短          0  足球江湖
                        这动画开头太啰嗦，一集放了两分钟就没了，还能不能看          0  足球江湖
                                          什么时候更新啊          0  足球江湖
                   讲的全都是废话，你还不如不播的，等了一周就这样，太让人失望了          0  足球江湖
                        快更新快更新快更新[抓狂][抓狂][抓狂][抓狂]          0  足球江湖
                              更新的也太慢了还不如〈我们的少年时代〉          0  足球江湖
                              真不知道 你怎么想的 这样更新 无语了          0  足球江湖
                      唱歌都差不多去一半😔😔😔😔\n更新又慢😪😪          0  足球江湖
                               不像电视剧来拍，那动画片就不一样了。          0  足球江湖
                            什么和什么这么点开玩笑吧这个导演怎么能这样          0  足球江湖
                        确实跟新的有点慢。但不过出来就看。这种片子应该多演          0  足球江湖
         更新的太慢了看的一点儿也不过瘾，还有一个星期才更新一集才只有十几分钟时在让人生气          0  足球江湖
                                   片头太长了，才放几分钟而已！          0  足球江湖
                                要猴年马月才更新完，还不如不看了，          0  足球江湖
                                           疯子还挺好看          0  足球江湖
                    一个星期才能看这几分钟没意思，那个放片的人是不是喝醉酒了吖          0  足球江湖
                    一个星期才能看这几分钟没意思，那个放片的人是不是喝醉酒了吖          0  足球江湖
            搞不懂这个导演在演什么踢个破球在哪里都要看废话什么片子还踢足球踢猪球差不多          0  足球江湖
                                能不能 天天更新 你这样会没人看的          0  足球江湖
                               工作室的人偷懒了吧，更新个这也这么慢          0  足球江湖
                                  这一集更的是抹掉，就进一球没了          0  足球江湖
                                  一场比赛要播几集啊，什么导演！          0  足球江湖
                                    能把没一级变长到二十分钟吗          0  足球江湖
                                    太好看了，可是更新太慢了。          0  足球江湖
                                      22222222222          0  足球江湖
                                      集数少在多一点就好了。          0  足球江湖
                                      太慢了半年才更新三集。          0  足球江湖
                                               呵呵          0  足球江湖
                                       情节不错，但太科幻了          0  足球江湖
                                  翟华龙厉害，说的好搞笑，24集          0  足球江湖
                                             更新太慢          0  足球江湖
                                       翟华龙好有说服力的哦          0  足球江湖
                                     🐉️🏀️🏅️󾓭️          0  足球江湖
                                              🐉️          0  足球江湖
                                              好好看          0  足球江湖
                                             一趕户基          0  足球江湖
                                             非常好看          0  足球江湖
                                          对好慢（更新）          0  足球江湖
                                   更新太慢，22世纪再来看吧！          0  足球江湖
                                  更新的太慢了。能不能快一点呀？          0  足球江湖
                                             如乳史录          0  足球江湖
                                              放假了          0  足球江湖
                                               Lb          0  足球江湖
                                              蛮好看          0  足球江湖
                                               口误          0  足球江湖
                       风扇分功甜多方甜写曲愚守\n习人义八义文甜甜门广鼠男          0  足球江湖
                                  怎么不更新 什么情况 搞事情啊          0  足球江湖
                                   这不电视剧才演10分钟了没劲          0  足球江湖
                                      这部电视剧演里片太少了          0  足球江湖
                       片子实话好看，但更新的实在是太慢了。慢啊😒😒😒          0  足球江湖
                                     真是慢，不应该今天更新嘛          0  足球江湖
                                              666          0  足球江湖
      我妈说我不要等了！这个视频太慢其他的视频都更新完了！你的视频更新完了我就死了同意的点赞          0  足球江湖
                                            好好看呀!          0  足球江湖
                                               放着          0  足球江湖
                                              666          0  足球江湖
                                               就是          0  足球江湖
                                                好          0  足球江湖
                                               香菇          0  足球江湖
                                               你。          0  足球江湖
