comment   like                       nick     postTime reply  unlike                                user_url
《那兔4》有了工作部文工团电视艺术中心（名字好长😄）同志们的参与果然与前三季的风格不同了，...  379.0       优酷用户1468507526756812  2017年07月06日  (12)    16.0  http://i.youku.com/i/UMzc5OTA4MDQwMA==
                     强烈要求把毛熊的配音换成原来的东北大碴子味儿，同意的点赞  217.0                      SRMN麒  2017年07月14日   NaN     4.0  http://i.youku.com/i/UMTYwNDc2NTU3Mg==
传有一星名曰蓝星，内有一蛇，其名为麻，故唤名麻蛇，常深居种花。龙角蛇身面似鹿，能吐人言。其性...  131.0             优酷用户6038362169  2017年06月30日   NaN     2.0  http://i.youku.com/i/UNDM1OTQ3MTc2MA==
                      军武傍上了海军，那兔傍上了陆军，还剩一个空军谁来 😂   32.0                      iZERX  2017年06月30日   (4)     2.0      http://i.youku.com/i/UNjA5NTY1MDg0
从没有哪一个伟大的名族，像我们一样，饱经沧桑而又深刻内敛，历经磨难而又源远流长。如果非要在我...   30.0                   爱吃烧烤的小阿西  2017年07月05日   (1)     3.0  http://i.youku.com/i/UNDU2Mjk1MzM4NA==
                      军武傍上了海军，那兔傍上了陆军，还剩一个空军谁来 😂   32.0                      iZERX  2017年06月30日   (4)     2.0      http://i.youku.com/i/UNjA5NTY1MDg0
传有一星名曰蓝星，内有一蛇，其名为麻，故唤名麻蛇，常深居种花。龙角蛇身面似鹿，能吐人言。其性...  131.0             优酷用户6038362169  2017年06月30日   NaN     2.0  http://i.youku.com/i/UNDM1OTQ3MTc2MA==
看完这集，突然想再去瞻仰一下天安门广场上的人民英雄纪念碑，再去看看周总理题词的那几个不朽，我...   16.0                    foolfox  2017年11月20日   NaN     1.0      http://i.youku.com/i/UMTMzNDMzMg==
从没有哪一个伟大的名族，像我们一样，饱经沧桑而又深刻内敛，历经磨难而又源远流长。如果非要在我...   30.0                   爱吃烧烤的小阿西  2017年07月05日   (1)     3.0  http://i.youku.com/i/UNDU2Mjk1MzM4NA==
每次看到这部动漫都好感动，它见证了中国的历史，也见证了我们人民解放军从无到有，一步一步的艰辛...   13.0                    8帕梅拉-A-  2017年10月24日   NaN     1.0  http://i.youku.com/i/UNDk3ODg1NjQ5Mg==
九十岁老太为何死而复生，半夜数百头母猪为何接连惨叫，十三岁男孩为何已有妻子，女生宿舍为何频频...   17.0                     额e2333  2017年08月07日   NaN     3.0  http://i.youku.com/i/UNDg4MjAwNDUyOA==
《那兔4》有了咱工作部文工团电视艺术中心（名字好长😄）同志的参与果然与前三季的风格不同了，...   15.0       优酷用户1468507526756812  2017年07月06日   NaN     2.0  http://i.youku.com/i/UMzc5OTA4MDQwMA==
麻蛇，你知道么？听说蛇肉羹很好吃诶。还有蛇皮可以做钱包，很耐用的！嗯，麻蛇这种物种是毒蛇吗？...   15.0                一只没有梦想的万年咸鱼  2017年07月04日   NaN     2.0  http://i.youku.com/i/UMzE2MDE3NDE2NA==
给大人看吧，这画风，实在看不下去，历史那么庄严的事情，搞成这样子，个人也不是很喜欢（萝卜白菜...   10.0                     荣耀毅捅天下  2017年09月10日   (1)   124.0  http://i.youku.com/i/UMTUwNDYwMDk0MA==
        好，就应该这样，国家应该参与进来，多好的宣传爱国主义的平台！！就是时间顺序颠倒了。    9.0             微信用户7505037439  2017年07月11日   NaN     1.0  http://i.youku.com/i/UNDIzNzM1NjI1Ng==
《那兔4》有了工作部文工团电视艺术中心（名字好长😄）同志们的参与果然与前三季的风格不同了，...    3.0       优酷用户1468507526756812  2017年07月06日   NaN     1.0  http://i.youku.com/i/UMzc5OTA4MDQwMA==
大侠请留步，老夫算了一卦，你并非池中物，将来必成大器，不如这样，你看右上角，有一个手势，他现...    2.0             腾讯用户5551956001  2017年08月14日   (1)    27.0  http://i.youku.com/i/UNDM4MDU4NTEwOA==
麻蛇已经被炖了，这是在锅里的时候，艰难的更得一期，多么努力的作者啊！请大家。。。。。。。。。...    6.0                       艾优微雅  2017年07月09日   NaN     1.0      http://i.youku.com/i/UMjgxNTY5OTY=
《那兔4》有了工作部文工团电视艺术中心（名字好长😄）同志们的参与果然与前三季的风格不同了，...  379.0       优酷用户1468507526756812  2017年07月06日  (12)    16.0  http://i.youku.com/i/UMzc5OTA4MDQwMA==
                           骨头被用来煲汤蛇毒用来制药蛇皮用来制作工艺品    4.0             土豆用户_777807907  2017年07月19日   NaN     2.0  http://i.youku.com/i/UMzExMTIzMTYyOA==
                     强烈要求把毛熊的配音换成原来的东北大碴子味儿，同意的点赞  217.0                      SRMN麒  2017年07月14日   NaN     4.0  http://i.youku.com/i/UMTYwNDc2NTU3Mg==
                          如果国父孙中山多活时间的话秃子和兔子统一种花家    NaN                   自来也EC93F  2018年03月15日   NaN     NaN  http://i.youku.com/i/UMTM1ODQ3NTI2NA==
                   麻蛇被羹了做不了动画了麻蛇你不能死啊你要死就把动画做完在死啊    5.0             腾讯用户9126147337  2017年08月02日   NaN     2.0  http://i.youku.com/i/UNDc1NDEyMTI4MA==
                          丑化袁世凯了，袁世凯如果不称帝，几乎就是完人！    2.0                        卢耀东  2017年07月01日   (2)    18.0      http://i.youku.com/i/UNTg4MTM2NzI=
               麻蛇🐍回来吧！不然我宁愿让他死在第三季那个真正的《那年那兔那些事》   14.0                   Jnoe5856  2017年08月26日   NaN     2.0  http://i.youku.com/i/UMTMxNjUwNjQwOA==
                          我是一名退伍军人 希望我们都守候好祖国锦绣河山   15.0              LEROI14760261  2017年08月05日   NaN     2.0  http://i.youku.com/i/UMTc1ODA0NzkyOA==
                              如果麻蛇在不更新同志们就把麻蛇煮了吧。    9.0             微信用户5839492432  2017年07月06日   (4)     1.0  http://i.youku.com/i/UNDY3NTkzMjM2OA==
               人之初，性本善。作者不更是坏蛋。 你不更，我不赞。 看你以后怎么办。   18.0       微信用户1471148471541899  2017年08月19日   NaN     NaN  http://i.youku.com/i/UMzkwMTgxODM0OA==
                       麻蛇亚麻蛇。055都下水啦你才更新，你对得起我们吗？    4.0                      久违的晴朗  2017年06月30日   NaN     NaN      http://i.youku.com/i/UNjIwMjEwNzk2
                       我挺住了没打麻药的缝针,却在看这部动画时,泪流不止!    3.0       优酷用户1511947729377607  2017年07月01日   NaN     NaN  http://i.youku.com/i/UNDQzMDY3OTMwNA==
                        玛德，等了一年了，终于出来了，还以为麻蛇已经被羹了   11.0                 When (I am  2017年07月05日   NaN     NaN  http://i.youku.com/i/UMTM2NTI3NDE0MA==
         前三季更新慢，但还是很精彩的，第四季，唉！！！看完这两集，没意思，小麻蛇编剧呢？    5.0            可不可以不可以10956465  2017年07月16日   NaN     NaN  http://i.youku.com/i/UMTczNDU5MTQwOA==
我活着看到更新了~~~~~~~~~~~ 我的天~~~~~~~~~~ 赶快庆祝一下~~~~~ ...    3.0                      我是暖暖爸  2017年06月30日   NaN     NaN      http://i.youku.com/i/UNDU3NjA4MDAw
                        密码，麻蛇终于更新了，麻蛇更麻蛇更，麻蛇不更麻蛇羹   10.0       微信用户1499919833089866  2017年08月14日   NaN     NaN  http://i.youku.com/i/UNDgwNjM5NTk5Ng==
                      从头开始，，，明白了，今年是兔子建党96年，加油，快更    5.0                       苗疆颖子  2017年07月02日   NaN     NaN      http://i.youku.com/i/UMTc1NjY2MDg=
                        总感觉宋教仁的死和老袁没关系,宋一死最不利的就是袁    NaN       优酷用户1511977363456611  2017年06月30日   NaN     NaN  http://i.youku.com/i/UNDQzMDY3OTI4MA==
                          我怎么记得这句宁可错杀1千是汪精卫说的啊。。。    NaN               Maleficentia  2017年11月25日   NaN     NaN  http://i.youku.com/i/UMTM5ODAzNTM5Mg==
                             没了麻蛇，还照样短，麻蛇还比这集长多了捏    6.0               瑞瑞平平42649546  2017年07月20日   NaN     NaN  http://i.youku.com/i/UMjg3NTYwMjIzNg==
                     看这些故事，总是很感动。中国人不容易，很多人付出和牺牲。    7.0            优酷手机用户_4F5wP7PG  2017年08月21日   NaN     1.0  http://i.youku.com/i/UMzM1NzI4Njk1Ng==
                                 黄埔军校里面的眼镜兔是陈赓大将哟   14.0                       拜日教主  2017年06月30日   NaN     NaN      http://i.youku.com/i/UMTIxNDEwMDA4
                                         片尾曲后面有福利    5.0       优酷用户1463579786847235  2017年06月30日   (2)     NaN  http://i.youku.com/i/UMzY1MzY3ODMwOA==
                 终于等到,我还是个女的,还饭上了这个视频,还是原来的片尾曲好听!    NaN                 苍景流年o碧水东流o  2017年06月30日   NaN     NaN  http://i.youku.com/i/UNDQzMjQzMjU5Ng==
                            最后一段还行 前面的兔子没以前那么洒脱自然    1.0  优酷用户ha5181486464127317999  2017年06月30日   NaN     NaN  http://i.youku.com/i/UNDQzMDY5MTIzNg==
                             终于出来了！种花家的兔子必须帮忙顶起来！    7.0                    嘟嘟熊猫爱琦琦  2017年07月03日   NaN     NaN  http://i.youku.com/i/UMzM1NDY1MTgyNA==
                               同志们，麻蛇不更新，我们只好武装催更    6.0                   逗比七SEVEN  2017年07月06日   NaN     NaN  http://i.youku.com/i/UNDM5MDI2NTU0MA==
                                  此生不悔入中华，来世再入种花家    9.0                   梦里梦他梦见她i  2017年07月05日   NaN     1.0  http://i.youku.com/i/UMzYxMTMzMTk5Ng==
                                编剧不是麻蛇了，它真的被粉丝羹了么   10.0                汪宇豪37509921  2017年08月08日   NaN     NaN  http://i.youku.com/i/UMzAzOTU3NTQ3Mg==
                                          本集眼镜兔是谁    3.0                     山丹１３１４  2017年06月30日   (2)     NaN      http://i.youku.com/i/UMjE0MDI1MTk2
                                 感觉第四季。和三季历史顺序颠倒了   10.0             微信用户7858804167  2017年07月11日   (1)     NaN  http://i.youku.com/i/UNDY3NTczMDk5Ng==
                               为何第四季没有主题歌？只有第二季配乐    9.0                       优哉游甾  2017年07月01日   (1)     NaN  http://i.youku.com/i/UNDU3Mzg2OTI1Mg==
                                 眼镜兔明显是陈庚大将，黄埔一期。   11.0                       大果子哥  2017年07月01日   NaN     NaN      http://i.youku.com/i/UMTI5MDAyNTYw
                              矮油，片头logo表明本片政治绝对正确    8.0                      发烧级菜鸟  2017年07月18日   NaN     NaN      http://i.youku.com/i/UMTE4MDE4MTI0
                             铁杆粉表示没点历史知识是看不懂的，哈哈。    7.0                c2289727930  2017年09月06日   NaN     NaN      http://i.youku.com/i/UNDkzNjAwNDc2
                                  我只想说为毛一季比一季的时间短   12.0                    2723123  2017年07月02日   (1)     NaN      http://i.youku.com/i/UMTUyNzY0MDY4
                                 麻蛇，再这么慢我就来堵你工作室了    5.0                        帝魂誓  2017年07月09日   NaN     1.0  http://i.youku.com/i/UMzYwMzYwOTk4NA==
                              现在都是近代史～早就没早期那种激情了～    3.0                       完美凌波  2017年07月10日   NaN     7.0  http://i.youku.com/i/UMTczMzgxNzc4MA==
                                           三大流氓到了   15.0                  Flyme灬775  2017年07月12日   (1)     NaN  http://i.youku.com/i/UNDU3MjE3OTg1Ng==
