comment  like                        nick     postTime reply  unlike                                user_url
                     这片子是水墨剪纸么？跟90年代的国漫很像啊。真的不错啊！   4.0                        随心29  2017年06月15日   NaN     3.0  http://i.youku.com/i/UNDA1ODMyMDE2MA==
                  说什么屁话 国外的东西要么咸咸的要嘛没味道 口感哪里中国美食比   4.0                        逗丶丶比  2017年06月10日   (1)     3.0  http://i.youku.com/i/UMTUyNTM2NjQ5Mg==
                    土豆子，优酷君，你们这就很可怕了啊，还能不能好好做动画了？   NaN                         愚小莫  2017年05月27日   NaN     1.0  http://i.youku.com/i/UMTY3NDk0NTQ0NA==
                  那张CT图片 居然有硬膜外血肿。。。。怪不得后来晕过去了。。。   NaN                SinD07337070  2017年05月26日   NaN     1.0  http://i.youku.com/i/UMTM0MTg5MDM5Mg==
                           良心巨制，一点也不拖时长，连个片尾曲都木有~   NaN                      咪嗷Jojo  2017年05月26日   NaN     3.0  http://i.youku.com/i/UMTM4OTkyNjM2OA==
              河豚一整只吃，我就服你~哈哈哈 很有趣的动漫~还很下饭~快更快更快更~   1.0                      咪嗷Jojo  2017年05月26日   NaN     1.0  http://i.youku.com/i/UMTM4OTkyNjM2OA==
                                中华小当家是日产的，还是国产的啊。   3.0                       忧伤的金钞  2017年07月17日   (8)     2.0  http://i.youku.com/i/UMjg5OTE4NjkwNA==
                            这画风是有多偷工减料。一集一天就能做完了。   1.0                       神罗天谴1          3周前   NaN     NaN      http://i.youku.com/i/UMzE1NjA3MDA0
你看过灵能100嘛，这种画风就是为了不让你们这些小学生看//画的好渣，这应该是画画新手画的，...   6.0                        吃饭的宛  2017年07月14日   (1)     1.0  http://i.youku.com/i/UMzA3MDA1NjE4OA==
                       画的好渣，这应该是画画新手画的，啊，你是国漫我听你的   4.0        腾讯用户1462160418840311  2017年07月12日   NaN     2.0  http://i.youku.com/i/UMzYyMDczMjI0MA==
                          画风有毛病吗 只接受主流画风的是不是有点挑剔了   1.0                         枫独饮  2017年07月08日   NaN     2.0      http://i.youku.com/i/UMjU2NDg4OTE2
                        那旁白的正经和巨基的社会，是什么情况？总裁变黑道？   NaN                         愚小莫  2017年05月27日   NaN     1.0  http://i.youku.com/i/UMTY3NDk0NTQ0NA==
                         我想问下 食神魂中的歌曲名叫啥啊 醉了没找到名字   3.0        微信用户1501840170733660  2017年08月04日   NaN     1.0  http://i.youku.com/i/UNDg3MjczNzk4OA==
                  支持国漫，画风可以接受，不是很菜→_→，国漫不管你咋样我都听你   3.0                 七秒鱼94754293  2017年07月12日   NaN     1.0  http://i.youku.com/i/UMTQ3MzAyOTI2OA==
                  辣鸡动漫剧情画风还不如20年前的中华小当家好意思拿出来给观众看   2.0                   Sola62D3D  2017年08月04日   (1)     6.0  http://i.youku.com/i/UMTMzMDY3MzU4NA==
         中国动画片，是否能尊重一下中国文化，中国神话体系，小孩子看了，真是什么都不知道了   5.0        优酷用户1464313304507212  2017年06月07日   NaN     1.0  http://i.youku.com/i/UMzY3MjAzNTM5Ng==
                 中国动漫在退步，看完这部，感觉中国动漫废了，画质太差，还没内涵，   NaN                       安托亚特斯  2017年08月02日   NaN     7.0  http://i.youku.com/i/UMzMyNTI5MTM0NA==
                    香椿名贵？这个很便宜啊，而且，这个食材，很多人认为是臭的。   NaN                      乔治德拉图尔  2017年07月14日   NaN     1.0  http://i.youku.com/i/UNDE3MjY4Mzg2MA==
                             看某些国产，要承受着智商可能被拉低的风险   3.0                         谢尛凤  2017年08月09日   NaN     3.0      http://i.youku.com/i/UNjA1NTcwNjUy
                          画成这个样子 剧情这个样子。。怎么宣扬中华美食   NaN                          稀忱  2018年02月22日   NaN     NaN  http://i.youku.com/i/UNTY3NTM3MTk4MA==
            看的我好尴尬啊，那么急吗，做动画能认真点吗，？模仿小当家也得模仿的像一点。   2.0                       丶藏你的心  2017年09月07日   NaN     3.0  http://i.youku.com/i/UMjg2NDgzNzUxMg==
                                   宁愿看中华小当家也不愿看这个   6.0                        邪魂战神  2017年08月11日   (3)     9.0  http://i.youku.com/i/UMTY1MDY0MDAxMg==
                            这动画用力过猛了，也许是为了吸引小朋友看。   NaN                       喵星星爸爸  2017年11月07日   NaN     1.0      http://i.youku.com/i/UMjgxMjA5NzY=
               很有泡面番的感觉，而且是我们自己的泡面番，不要管别人说什么，我支持你   4.0                  面包53170695  2017年06月15日   NaN     3.0  http://i.youku.com/i/UMTQxNjIyNDY3Ng==
